Device,Max Clients,Unique Clients,Building
Frear Q 528B Tmp,3,5,Frear
Mokihana 1283 Tmp,4,19,Mokihana
Wainani I 1454A Tmp,6,9,Wainani
Hamilton P2 015 DH,0,0,Hamilton Library
Hamilton P2 015-Acquisitions Dept,0,0,Hamilton Library
Wainani F 1102LR Tmp,4,14,Wainani
Frear D 907C Tmp,3,4,Frear
Wainani H 362B Temp,0,0,Wainani
Frear D 507C Temp,5,5,Frear
Frear D 207C Temp,5,10,Frear
Frear D 707C Temp,3,3,Frear
Noelani E Store,10,28,Noelani
Lokelani 1058 Temp,8,8,Lokelani
Lehua 1012 Temp,2,6,Lehua
HA Cafe Display Test,2,3,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,1,3,Hale Aloha Cafe
Frear D 1007C Temp,3,4,Frear
Lehua 408 Temp,5,10,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,4,4,Frear
Frear D 807C Temp,2,5,Frear
Frear D 801C,3,3,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,1,3,Sinclair Library
Laulima 311T,5,6,Hale Laulima
Frear D 607C Temp,4,19,Mokihana
Sinclair ACM 191A,0,1,Sinclair Library
Sinclair ACM 193A,0,0,Sinclair Library
Sinclair ACM 192,2,2,Sinclair Library
Sinclair ACM B03 Makai,0,1,Sinclair Library
Sinclair ACM 194,2,7,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,5,55,Kennedy
Crawford ECB Outdoor,1,7,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,5,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,2,18,Gateway
Spalding 256,1,1,Spalding Hall
Moore 328,0,0,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,0,0,Moore Hall
Moore 370 Hallway,1,1,Moore Hall
Moore 453 Hallway,2,2,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,1,5,Moore Hall
Moore 386 Hallway,3,3,Moore Hall
Moore 426,0,1,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,1,2,Moore Hall
Moore 383 Hallway,1,1,Moore Hall
Moore 402 Hallway,0,1,Moore Hall
Moore 257,0,1,Moore Hall
Moore 255 Hallway,0,3,Moore Hall
Moore 457 Hallway,0,2,Moore Hall
Moore 585 Hallway,0,0,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,4,4,Moore Hall
Moore 365 Hallway,0,0,Moore Hall
Moore 570 Hallway,0,1,Moore Hall
Moore 428,0,0,Moore Hall
Moore 455 Hallway,1,1,Moore Hall
Moore 416,0,0,Moore Hall
Moore 319,0,1,Moore Hall
Moore 107,0,1,Moore Hall
Moore 560 Hallway,2,4,Moore Hall
Moore 155B,1,2,Moore Hall
Moore 470,2,2,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,1,2,Moore Hall
Moore 225,1,5,Moore Hall
Moore 153B,1,4,Moore Hall
Moore 152,1,4,Moore Hall
Moore 153A,3,10,Moore Hall
Moore 262,0,0,Moore Hall
Moore 103,0,0,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,1,3,Moore Hall
Moore 104 Hallway,1,2,Moore Hall
Moore 321 Hallway,0,2,Moore Hall
Moore 109,0,1,Moore Hall
Moore 162,1,2,Moore Hall
Moore 370,0,0,Moore Hall
Moore 575 Hallway,1,1,Moore Hall
Moore 256 DH,1,3,Moore Hall
Moore 156,0,1,Moore Hall
Moore 360 Hallway,3,4,Moore Hall
Moore 302 Hallway,0,0,Moore Hall
Moore 573 Hallway,0,0,Moore Hall
Moore 115,0,0,Moore Hall
Moore 423 Makai,0,1,Moore Hall
Moore 326,0,0,Moore Hall
Moore 423 Mauka,1,3,Moore Hall
Moore 112,2,5,Moore Hall
Moore 256 Ewa,2,14,Moore Hall
Moore 253,0,6,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,1,1,Moore Hall
Moore 218 Hallway,0,0,Moore Hall
Moore 161,3,4,Moore Hall
Moore 258,0,2,Moore Hall
Moore 570,3,3,Moore Hall
Moore 481 Hallway,1,1,Moore Hall
Moore 496 Hallway,2,2,Moore Hall
Moore 417,1,1,Moore Hall
Moore 324,0,0,Moore Hall
Moore 493 Hallway,1,2,Moore Hall
Moore 102,0,1,Moore Hall
Moore 151,1,5,Moore Hall
Moore 569,1,1,Moore Hall
Moore 424,1,2,Moore Hall
Moore 117 DH,0,0,Moore Hall
Moore 564 Hallway,2,2,Moore Hall
Moore 119,0,1,Moore Hall
Moore 216,0,0,Moore Hall
Moore 264,0,0,Moore Hall
Moore 204,0,0,Moore Hall
Moore 228 Makai,0,3,Moore Hall
Moore 111,0,0,Moore Hall
Moore 117 Ewa,0,0,Moore Hall
Moore 202,0,0,Moore Hall
Moore 155A,1,1,Moore Hall
Moore 227,0,4,Moore Hall
Moore 423 Hallway,3,3,Moore Hall
Moore 259,0,0,Moore Hall
Moore 211 Hallway,1,1,Moore Hall
Moore 120,0,1,Moore Hall
Moore 203,0,1,Moore Hall
Moore 105,0,0,Moore Hall
Moore 224,0,0,Moore Hall
Moore 421 Hallway,0,1,Moore Hall
Moore 414 Hallway,0,0,Moore Hall
Moore 226,0,2,Moore Hall
Moore 207,0,0,Moore Hall
Moore 208A Hallway,0,1,Moore Hall
Moore 254,1,3,Moore Hall
Moore 394,0,1,Moore Hall
Moore 206,0,0,Moore Hall
Moore 228 Mauka,0,4,Moore Hall
Hamilton P3 456,0,0,Hamilton Library
Hamilton P1 003 - INS Commons Area,0,0,Hamilton Library
Hamilton P3 356 Makai,0,0,Hamilton Library
Hamilton P3 550,0,0,Hamilton Library
Hamilton P2 235 Hallway,0,0,Hamilton Library
Hamilton P2 112B,1,3,Hamilton Library
Hamilton P2 109A,0,3,Hamilton Library
Hamilton P3 A260 Mauka,0,0,Hamilton Library
Hamilton P2 504,0,0,Hamilton Library
Hamilton P3 553,0,0,Hamilton Library
Hamilton P3 356 Mauka,0,0,Hamilton Library
Hamilton P3 552 DH,1,1,Hamilton Library
