Device,Max Clients,Unique Clients,Building
Wainani I 1454A Tmp,0,5,Wainani
Hamilton P2 015 DH,0,0,Hamilton Library
Hamilton P2 015-Acquisitions Dept,0,0,Hamilton Library
Wainani F 1102LR Tmp,0,1,Wainani
Wainani H 362B Temp,0,1,Wainani
Frear D 507C Temp,0,4,Frear
Frear D 207C Temp,0,2,Frear
Frear D 707C Temp,0,5,Frear
Noelani E Store,0,3,Noelani
Lokelani 1058 Temp,0,5,Lokelani
Lehua 1012 Temp,0,0,Lehua
HA Cafe Display Test,0,2,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,0,0,Hale Aloha Cafe
Frear D 1007C Temp,0,4,Frear
Lehua 408 Temp,0,4,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,0,4,Frear
Frear D 807C Temp,0,1,Frear
Frear D 801C,0,4,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,0,1,Sinclair Library
Laulima 311T,0,4,Hale Laulima
Frear D 607C Temp,0,5,Mokihana
Sinclair ACM 191A,0,0,Sinclair Library
Sinclair ACM 193A,0,1,Sinclair Library
Sinclair ACM 192,0,4,Sinclair Library
Sinclair ACM B03 Makai,0,0,Sinclair Library
Sinclair ACM 194,0,1,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,0,0,Kennedy
Crawford ECB Outdoor,0,0,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,0,0,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,0,0,Gateway
Spalding 256,0,1,Spalding Hall
Moore 328,0,0,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,0,0,Moore Hall
Moore 370 Hallway,0,0,Moore Hall
Moore 453 Hallway,0,0,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,0,1,Moore Hall
Moore 386 Hallway,0,1,Moore Hall
Moore 426,0,0,Moore Hall
