Device,Max Clients,Unique Clients,Building
Hamilton P2 015 DH,0,0,Hamilton Library
Hamilton P2 015-Acquisitions Dept,0,0,Hamilton Library
Wainani F 1102LR Tmp,3,11,Wainani
Wainani H 362B Temp,2,2,Wainani
Frear D 507C Temp,4,7,Frear
Frear D 207C Temp,5,9,Frear
Frear D 707C Temp,2,4,Frear
Noelani E Store,19,142,Noelani
Lokelani 1058 Temp,6,7,Lokelani
Lehua 1012 Temp,4,21,Lehua
HA Cafe Display Test,9,142,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,1,5,Hale Aloha Cafe
Frear D 1007C Temp,3,3,Frear
Lehua 408 Temp,5,9,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,6,8,Frear
Frear D 807C Temp,2,6,Frear
Frear D 801C,4,5,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,1,3,Sinclair Library
Laulima 311T,4,4,Hale Laulima
Frear D 607C Temp,5,7,Mokihana
Sinclair ACM 191A,1,1,Sinclair Library
Sinclair ACM 193A,0,0,Sinclair Library
Sinclair ACM 192,3,3,Sinclair Library
Sinclair ACM B03 Makai,0,0,Sinclair Library
Sinclair ACM 194,2,8,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,7,97,Kennedy
Crawford ECB Outdoor,2,16,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,6,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,0,1,Gateway
Spalding 256,2,3,Spalding Hall
Moore 328,0,2,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,0,1,Moore Hall
Moore 370 Hallway,0,0,Moore Hall
Moore 453 Hallway,0,0,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,1,13,Moore Hall
Moore 386 Hallway,2,2,Moore Hall
Moore 426,0,0,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,0,Moore Hall
Moore 383 Hallway,0,1,Moore Hall
Moore 402 Hallway,2,2,Moore Hall
Moore 257,1,3,Moore Hall
Hamilton P3 A260 Makai,0,0,Hamilton Library
Hamilton P3 456 Mauka,0,0,Hamilton Library
Hamilton P2 008I Hallway,0,0,Hamilton Library
Hamilton P2 401,0,0,Hamilton Library
Hamilton P3 456 Makai,1,4,Hamilton Library
Hamilton P3 454A DH,0,0,Hamilton Library
Hamilton P3 A261 Study Area,0,0,Hamilton Library
Hamilton P3 151E,0,0,Hamilton Library
Hamilton P3 150A Study Area,0,3,Hamilton Library
Hamilton P3 553C,1,11,Hamilton Library
Hamilton P3 356,0,0,Hamilton Library
Hamilton P3 258,0,0,Hamilton Library
Hamilton P2 501,0,0,Hamilton Library
Hamilton P2 120,0,0,Hamilton Library
Hamilton P2 200 Elevator7 Column,0,0,Hamilton Library
Hamilton P2 110A,2,3,Hamilton Library
Hamilton 412 Hallway,0,0,Hamilton Library
Hamilton P1 100 CLIC,0,0,Hamilton Library
Hamilton 4th Fl Asia 39,0,0,Hamilton Library
Hamilton P2 113,1,3,Hamilton Library
Hamilton P2 422/423 Hallway,0,5,Hamilton Library
Hamilton P1 301-Conference Rm,0,0,Hamilton Library
Hamilton P1 101 Ewa,0,0,Hamilton Library
Hamilton P2 014 DH,0,0,Hamilton Library
Hamilton P2 320,0,0,Hamilton Library
Hamilton P2 511,0,0,Hamilton Library
Hamilton P3 BET,0,0,Hamilton Library
Hamilton P1 002-Administration,0,0,Hamilton Library
Hamilton P1 200,0,0,Hamilton Library
Hamilton P3 552 Ewa,0,0,Hamilton Library
Hamilton P2 400,0,0,Hamilton Library
Hamilton P3 156,0,0,Hamilton Library
Hamilton P1 003 Mauka,0,1,Hamilton Library
Hamilton P2 016,0,0,Hamilton Library
Hamilton P1 003F,0,0,Hamilton Library
Hamilton 4th Fl Asia 12,0,0,Hamilton Library
Hamilton P2 306 Ewa,1,1,Hamilton Library
Hamilton P2 006B,1,2,Hamilton Library
Hamilton P1 002k (old),0,0,Hamilton Library
Hamilton P3 052,0,0,Hamilton Library
