Device,Max Clients,Unique Clients,Building
Wainani I 1454A Tmp,7,8,Wainani
Hamilton P2 015 DH,0,0,Hamilton Library
Hamilton P2 015-Acquisitions Dept,0,0,Hamilton Library
Wainani F 1102LR Tmp,5,16,Wainani
Frear D 907C Tmp,2,3,Frear
Wainani H 362B Temp,2,2,Wainani
Frear D 507C Temp,6,8,Frear
Frear D 207C Temp,6,11,Frear
Frear D 707C Temp,3,5,Frear
Noelani E Store,9,80,Noelani
Lokelani 1058 Temp,7,8,Lokelani
Lehua 1012 Temp,2,13,Lehua
HA Cafe Display Test,8,91,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,0,6,Hale Aloha Cafe
Frear D 1007C Temp,4,4,Frear
Lehua 408 Temp,4,15,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,5,6,Frear
Frear D 807C Temp,3,16,Frear
Frear D 801C,4,4,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,0,2,Sinclair Library
Laulima 311T,5,7,Hale Laulima
Frear D 607C Temp,5,7,Mokihana
Sinclair ACM 191A,1,1,Sinclair Library
Sinclair ACM 193A,1,2,Sinclair Library
Sinclair ACM 192,5,5,Sinclair Library
Sinclair ACM B03 Makai,0,0,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,8,111,Kennedy
Crawford ECB Outdoor,2,19,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,12,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,2,17,Gateway
Spalding 256,1,3,Spalding Hall
Moore 328,1,8,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,0,0,Moore Hall
Moore 370 Hallway,3,4,Moore Hall
Moore 453 Hallway,0,1,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,1,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,0,11,Moore Hall
Moore 386 Hallway,2,3,Moore Hall
Moore 426,0,0,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,1,Moore Hall
Moore 393 Hallway,0,0,Moore Hall
Moore 383 Hallway,0,0,Moore Hall
Moore 402 Hallway,2,2,Moore Hall
Moore 257,1,2,Moore Hall
Moore 255 Hallway,0,1,Moore Hall
Moore 457 Hallway,2,3,Moore Hall
Moore 585 Hallway,3,4,Moore Hall
Moore 464 Hallway,1,1,Moore Hall
Moore 432 Hallway,4,7,Moore Hall
Moore 365 Hallway,1,1,Moore Hall
Moore 570 Hallway,5,8,Moore Hall
Moore 428,0,2,Moore Hall
Moore 455 Hallway,0,0,Moore Hall
Moore 416,0,0,Moore Hall
Moore 319,0,1,Moore Hall
Moore 107,1,6,Moore Hall
Moore 560 Hallway,3,3,Moore Hall
Moore 155B,2,7,Moore Hall
Moore 470,1,1,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,2,3,Moore Hall
Moore 225,0,2,Moore Hall
Moore 153B,3,14,Moore Hall
Moore 152,0,4,Moore Hall
Moore 153A,3,10,Moore Hall
Moore 262,1,1,Moore Hall
Moore 103,0,3,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,1,1,Moore Hall
Moore 104 Hallway,2,2,Moore Hall
Moore 321 Hallway,0,0,Moore Hall
Moore 109,0,3,Moore Hall
Moore 162,0,2,Moore Hall
Moore 370,0,1,Moore Hall
Moore 575 Hallway,1,1,Moore Hall
Moore 256 DH,0,6,Moore Hall
Moore 156,1,3,Moore Hall
Moore 360 Hallway,5,5,Moore Hall
Moore 302 Hallway,0,1,Moore Hall
Moore 573 Hallway,1,1,Moore Hall
Moore 115,0,0,Moore Hall
Moore 423 Makai,0,2,Moore Hall
Moore 326,0,0,Moore Hall
Moore 423 Mauka,0,0,Moore Hall
Moore 112,0,3,Moore Hall
Moore 256 Ewa,2,16,Moore Hall
Moore 253,1,4,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,0,0,Moore Hall
Moore 218 Hallway,0,0,Moore Hall
Moore 161,2,6,Moore Hall
Moore 258,1,2,Moore Hall
Moore 570,1,2,Moore Hall
Moore 481 Hallway,1,1,Moore Hall
Moore 496 Hallway,0,0,Moore Hall
Moore 417,1,1,Moore Hall
Moore 324,0,0,Moore Hall
Moore 493 Hallway,1,2,Moore Hall
Moore 102,0,4,Moore Hall
Moore 151,1,8,Moore Hall
Moore 569,1,2,Moore Hall
Moore 424,1,1,Moore Hall
Moore 117 DH,0,4,Moore Hall
Moore 564 Hallway,2,2,Moore Hall
Moore 119,0,2,Moore Hall
Moore 216,0,1,Moore Hall
Moore 264,0,1,Moore Hall
Moore 204,0,0,Moore Hall
Moore 228 Makai,0,5,Moore Hall
Moore 111,0,0,Moore Hall
Moore 117 Ewa,1,4,Moore Hall
Moore 202,0,0,Moore Hall
Moore 155A,1,1,Moore Hall
Moore 227,0,10,Moore Hall
Moore 423 Hallway,1,1,Moore Hall
Moore 259,2,2,Moore Hall
Moore 211 Hallway,0,0,Moore Hall
Moore 120,1,3,Moore Hall
Moore 203,0,1,Moore Hall
Moore 105,0,2,Moore Hall
Moore 224,0,0,Moore Hall
Moore 421 Hallway,1,2,Moore Hall
Moore 414 Hallway,0,0,Moore Hall
Moore 226,0,3,Moore Hall
Moore 207,0,1,Moore Hall
Moore 208A Hallway,0,2,Moore Hall
Moore 254,1,6,Moore Hall
Moore 394,0,0,Moore Hall
Moore 206,0,3,Moore Hall
Moore 228 Mauka,0,8,Moore Hall
Hamilton P3 456,0,0,Hamilton Library
Hamilton P1 003 - INS Commons Area,0,0,Hamilton Library
Hamilton P3 356 Makai,0,1,Hamilton Library
Hamilton P3 550,0,0,Hamilton Library
Hamilton P2 235 Hallway,0,0,Hamilton Library
Hamilton P2 112B,1,17,Hamilton Library
Hamilton P2 109A,1,9,Hamilton Library
Hamilton P3 A260 Mauka,0,0,Hamilton Library
Hamilton P2 504,0,0,Hamilton Library
Hamilton P3 553,0,0,Hamilton Library
Hamilton P3 356 Mauka,0,0,Hamilton Library
Hamilton P3 552 DH,0,0,Hamilton Library
Hamilton P3 354A DH,0,0,Hamilton Library
Hamilton P2 526,0,0,Hamilton Library
Hamilton P3 150A,1,1,Hamilton Library
Hamilton P3 A153,1,4,Hamilton Library
Hamilton P2 114A/113,1,11,Hamilton Library
Hamilton P3 Bridge,0,0,Hamilton Library
