Device,Max Clients,Unique Clients,Building
Lehua 1012 Temp,5,13,Lehua
HA Cafe Display Test,6,65,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,1,9,Hale Aloha Cafe
Frear D 1007C Temp,0,0,Frear
Lehua 408 Temp,5,17,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,5,6,Frear
Frear D 807C Temp,2,8,Frear
Frear D 801C,5,5,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,1,2,Sinclair Library
Laulima 311T,4,6,Hale Laulima
Frear D 607C Temp,4,6,Mokihana
Sinclair ACM 191A,1,2,Sinclair Library
Sinclair ACM 193A,1,1,Sinclair Library
Sinclair ACM 192,3,7,Sinclair Library
Sinclair ACM B03 Makai,0,0,Sinclair Library
Sinclair ACM 194,3,26,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,9,151,Kennedy
Crawford ECB Outdoor,2,36,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,14,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,2,14,Gateway
Spalding 256,3,7,Spalding Hall
Moore 328,1,13,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,0,0,Moore Hall
Moore 370 Hallway,1,4,Moore Hall
Moore 453 Hallway,3,3,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,3,26,Moore Hall
Moore 386 Hallway,1,1,Moore Hall
Moore 426,0,0,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,0,Moore Hall
Moore 383 Hallway,2,6,Moore Hall
Moore 402 Hallway,4,4,Moore Hall
Moore 257,1,4,Moore Hall
Moore 255 Hallway,0,0,Moore Hall
Moore 457 Hallway,1,2,Moore Hall
Moore 585 Hallway,3,6,Moore Hall
Moore 464 Hallway,1,1,Moore Hall
Moore 432 Hallway,6,6,Moore Hall
Moore 365 Hallway,3,3,Moore Hall
Moore 570 Hallway,1,8,Moore Hall
Moore 428,3,5,Moore Hall
Moore 455 Hallway,1,1,Moore Hall
Moore 416,0,0,Moore Hall
Moore 319,0,1,Moore Hall
Moore 107,1,5,Moore Hall
Moore 560 Hallway,0,1,Moore Hall
Moore 155B,1,5,Moore Hall
Moore 470,0,1,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,1,2,Moore Hall
Moore 225,0,4,Moore Hall
Moore 153B,1,19,Moore Hall
Moore 152,1,6,Moore Hall
Moore 153A,5,18,Moore Hall
Moore 262,0,2,Moore Hall
Moore 103,0,2,Moore Hall
Moore 331 Hallway,1,1,Moore Hall
Moore 553 Hallway,2,3,Moore Hall
Moore 104 Hallway,1,2,Moore Hall
Moore 321 Hallway,0,1,Moore Hall
Moore 109,0,6,Moore Hall
Moore 162,0,1,Moore Hall
