Device,Max Clients,Unique Clients,Building
Mokihana 1283 Tmp,4,17,Mokihana
Wainani I 1454A Tmp,8,9,Wainani
Hamilton P2 015 DH,0,0,Hamilton Library
Hamilton P2 015-Acquisitions Dept,2,4,Hamilton Library
Wainani F 1102LR Tmp,3,12,Wainani
Frear D 907C Tmp,2,2,Frear
Wainani H 362B Temp,2,2,Wainani
Frear D 507C Temp,5,8,Frear
Frear D 207C Temp,3,5,Frear
Frear D 707C Temp,4,5,Frear
Noelani E Store,10,55,Noelani
Lokelani 1058 Temp,5,6,Lokelani
Lehua 1012 Temp,4,12,Lehua
HA Cafe Display Test,5,57,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,2,5,Hale Aloha Cafe
Frear D 1007C Temp,2,4,Frear
Lehua 408 Temp,6,18,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,5,5,Frear
Frear D 807C Temp,3,13,Frear
Frear D 801C,3,3,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,0,0,Sinclair Library
Laulima 311T,6,7,Hale Laulima
Frear D 607C Temp,5,9,Mokihana
Sinclair ACM 191A,2,2,Sinclair Library
Sinclair ACM 193A,1,2,Sinclair Library
Sinclair ACM 192,5,10,Sinclair Library
Sinclair ACM B03 Makai,0,0,Sinclair Library
Sinclair ACM 194,2,20,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,8,158,Kennedy
Crawford ECB Outdoor,1,30,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,14,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,1,14,Gateway
Spalding 256,1,4,Spalding Hall
Moore 328,1,9,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,1,1,Moore Hall
Moore 370 Hallway,0,2,Moore Hall
Moore 453 Hallway,2,2,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,3,24,Moore Hall
Moore 386 Hallway,2,2,Moore Hall
Moore 426,0,0,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,1,1,Moore Hall
Moore 383 Hallway,0,0,Moore Hall
Moore 402 Hallway,4,4,Moore Hall
Moore 257,0,2,Moore Hall
Moore 255 Hallway,1,2,Moore Hall
Moore 457 Hallway,2,4,Moore Hall
Hamilton P2 508,0,0,Hamilton Library
Hamilton P2 014 Ewa,1,3,Hamilton Library
Hamilton 4th Fl Asia 20,0,0,Hamilton Library
Hamilton P1 002K,0,0,Hamilton Library
Hamilton P2 112,2,6,Hamilton Library
Hamilton P2 3rdFl-Freight Elevator,1,3,Hamilton Library
Hamilton P2 026,1,2,Hamilton Library
Hamilton P2 306 DH,1,1,Hamilton Library
Hamilton 4th Fl Asia 16,0,0,Hamilton Library
Hamilton P2 159 Mauka,20,45,Hamilton Library
Hamilton 4th Fl Asia 34,0,0,Hamilton Library
Hamilton P1 101 Hallway,5,54,Hamilton Library
Hamilton P2 217 Hallway,1,2,Hamilton Library
Hamilton P2 008 DH,0,0,Hamilton Library
Hamilton P1 159 Makai,13,29,Hamilton Library
Hamilton P1 003 Makai,1,1,Hamilton Library
Hamilton P1 006A GovDocs,0,0,Hamilton Library
Hamilton P2 008 Ewa,2,5,Hamilton Library
Hamilton P2 123,1,6,Hamilton Library
Hamilton P1 006 Ewa,1,1,Hamilton Library
Spalding 258A,0,0,Spalding Hall
Spalding 258,2,7,Spalding Hall
Edmondson 114,2,3,Edmondson Hall
Edmondson 112,4,4,Edmondson Hall
Edmondson 111,5,5,Edmondson Hall
Edmondson 3rd Fl Lanai,0,13,Edmondson Hall
Edmondson 1st Fl Lanai,3,58,Edmondson Hall
Edmondson 2nd Fl Lanai,4,27,Edmondson Hall
Edmondson 104,0,2,Edmondson Hall
Edmondson 101,2,3,Edmondson Hall
Edmondson 110,1,3,Edmondson Hall
Edmondson 103,0,2,Edmondson Hall
Edmondson 408,0,1,Edmondson Hall
Edmondson 212,0,1,Edmondson Hall
Edmondson 301 Mauka,2,4,Edmondson Hall
Edmondson 301 Makai,2,3,Edmondson Hall
Edmondson 401 Center,1,1,Edmondson Hall
Webster 203 Makai,1,1,Webster Hall
Webster 115,2,3,Webster Hall
Edmondson 301 Center,4,4,Edmondson Hall
Edmondson 401 Mauka,1,1,Edmondson Hall
Webster 101 Mauka,7,7,Webster Hall
Webster 446 Hallway,3,5,Webster Hall
Webster 114,0,2,Webster Hall
Webster 116,1,7,Webster Hall
Edmondson 411,4,4,Edmondson Hall
Webster 203 Ewa,0,0,Webster Hall
Webster 103 Hallway,0,0,Webster Hall
Edmondson 418,0,0,Edmondson Hall
Edmondson 203,6,8,Edmondson Hall
Webster 102,0,0,Webster Hall
Webster 112,2,6,Webster Hall
Edmondson 313,3,6,Edmondson Hall
Edmondson 401 Makai,0,1,Edmondson Hall
Edmondson 216,3,5,Edmondson Hall
Edmondson 201,7,9,Edmondson Hall
Webster 407 Hallway,1,1,Webster Hall
Edmondson 414,0,0,Edmondson Hall
Webster 327 Hallway,3,4,Webster Hall
Webster 303 Hallway,4,6,Webster Hall
Edmondson 215,2,8,Edmondson Hall
Webster 101 Makai,1,7,Webster Hall
Webster 103,0,0,Webster Hall
Webster Hallway 319E,1,1,Webster Hall
Webster 412 Hallway,2,5,Webster Hall
Webster 314 Hallway,0,1,Webster Hall
Webster 205,1,2,Webster Hall
Edmondson 213A,0,3,Edmondson Hall
Webster 214 Hallway,0,1,Webster Hall
Webster 438 Hallway,1,5,Webster Hall
Webster 432 Hallway,2,8,Webster Hall
Webster 218 Hallway,0,2,Webster Hall
Edmondson 309,2,6,Edmondson Hall
Edmondson 205,4,7,Edmondson Hall
Webster 203 Mauka,0,1,Webster Hall
Webster Hallway 317,0,2,Webster Hall
Webster 442 Hallway,1,2,Webster Hall
Webster 337 Hallway,1,3,Webster Hall
Webster 323 Hallway,1,2,Webster Hall
Edmondson 318,7,11,Edmondson Hall
Edmondson 308,1,7,Edmondson Hall
Webster 301,3,24,Webster Hall
Webster 402,3,5,Webster Hall
Webster 104,0,0,Webster Hall
Webster 201A,0,6,Webster Hall
Webster 204AA,1,1,Webster Hall
Edmondson 4th Fl Lanai,0,3,Edmondson Hall
Webster 113,0,5,Webster Hall
Webster 334,5,8,Webster Hall
Snyder 401C Hallway,0,0,Snyder Hall
