Device,Max Clients,Unique Clients,Building
Hamilton P2 014 DH,2,2,Hamilton Library
Hamilton P2 320,0,0,Hamilton Library
Hamilton P2 511,0,0,Hamilton Library
Hamilton P3 BET,1,3,Hamilton Library
Hamilton P1 002-Administration,0,0,Hamilton Library
Hamilton P1 200,0,0,Hamilton Library
Hamilton P3 552 Ewa,1,4,Hamilton Library
Hamilton P2 400,0,0,Hamilton Library
Hamilton P3 156,0,1,Hamilton Library
Hamilton P1 003 Mauka,0,0,Hamilton Library
Hamilton P2 016,3,5,Hamilton Library
Hamilton P1 003F,1,1,Hamilton Library
Hamilton 4th Fl Asia 12,0,0,Hamilton Library
Hamilton P2 306 Ewa,1,2,Hamilton Library
Hamilton P2 006B,3,4,Hamilton Library
Hamilton P1 002k (old),0,0,Hamilton Library
Hamilton P3 052,3,5,Hamilton Library
Hamilton 4th Fl Asia 27,0,0,Hamilton Library
Hamilton P1 006A Ewa,0,0,Hamilton Library
Hamilton P2 405-Asia-Collections-Staff,0,1,Hamilton Library
Hamilton P1 201 Hallway,1,4,Hamilton Library
Hamilton P1 102,3,7,Hamilton Library
Hamilton 4th Fl Asia 32,0,0,Hamilton Library
Hamilton PI 006C,0,1,Hamilton Library
Hamilton P2 108,5,20,Hamilton Library
Hamilton P2 1stFl Elevator,17,51,Hamilton Library
Hamilton P1 006D Ewa,1,1,Hamilton Library
Hamilton P1 006A,0,0,Hamilton Library
Hamilton P1 006D DH,0,0,Hamilton Library
Hamilton P1 211 Hallway,1,4,Hamilton Library
Hamilton P2 029,3,4,Hamilton Library
Hamilton P1 208,1,1,Hamilton Library
Hamilton P1 006 DH,0,0,Hamilton Library
Hamilton P1 202,1,1,Hamilton Library
Hamilton P1 101 DH,4,34,Hamilton Library
Hamilton P1 100-Study Area,14,57,Hamilton Library
Hamilton 4th Fl Asia 22,0,0,Hamilton Library
Hamilton P2 508,1,3,Hamilton Library
Hamilton P2 014 Ewa,3,4,Hamilton Library
Hamilton 4th Fl Asia 20,0,0,Hamilton Library
Hamilton P1 002K,0,0,Hamilton Library
Hamilton P2 112,2,8,Hamilton Library
Hamilton P2 3rdFl-Freight Elevator,1,1,Hamilton Library
Hamilton P2 026,1,4,Hamilton Library
Hamilton P2 306 DH,1,1,Hamilton Library
Hamilton 4th Fl Asia 16,0,0,Hamilton Library
Hamilton P2 159 Mauka,13,34,Hamilton Library
Hamilton 4th Fl Asia 34,0,0,Hamilton Library
Hamilton P1 101 Hallway,5,44,Hamilton Library
Hamilton P2 217 Hallway,0,0,Hamilton Library
Hamilton P2 008 DH,0,0,Hamilton Library
Hamilton P1 159 Makai,13,38,Hamilton Library
Hamilton P1 003 Makai,1,1,Hamilton Library
Hamilton P1 006A GovDocs,0,0,Hamilton Library
Hamilton P2 008 Ewa,3,6,Hamilton Library
