Device,Max Clients,Unique Clients,Building
Wainani H 362B Temp,2,2,Wainani
Frear D 507C Temp,7,8,Frear
Frear D 207C Temp,8,10,Frear
Frear D 707C Temp,6,8,Frear
Noelani E Store,4,39,Noelani
Lokelani 1058 Temp,8,8,Lokelani
Lehua 1012 Temp,3,5,Lehua
HA Cafe Display Test,0,1,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,0,2,Hale Aloha Cafe
Frear D 1007C Temp,3,3,Frear
Lehua 408 Temp,5,13,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,5,6,Frear
Frear D 807C Temp,3,11,Frear
Frear D 801C,4,4,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,0,5,Sinclair Library
Laulima 311T,7,11,Hale Laulima
Frear D 607C Temp,5,7,Mokihana
Sinclair ACM 191A,1,4,Sinclair Library
Sinclair ACM 193A,1,9,Sinclair Library
Sinclair ACM 192,4,10,Sinclair Library
Sinclair ACM B03 Makai,1,4,Sinclair Library
Sinclair ACM 194,3,29,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,8,157,Kennedy
Crawford ECB Outdoor,3,59,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,13,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,1,11,Gateway
Spalding 256,4,7,Spalding Hall
Moore 328,1,12,Moore Hall
Moore 316,2,2,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,0,0,Moore Hall
Moore 370 Hallway,0,3,Moore Hall
Moore 453 Hallway,3,4,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,3,26,Moore Hall
Moore 386 Hallway,3,3,Moore Hall
Moore 426,2,2,Moore Hall
Moore 310 Hallway,1,2,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,0,Moore Hall
Moore 383 Hallway,0,1,Moore Hall
Moore 402 Hallway,3,4,Moore Hall
Moore 257,0,9,Moore Hall
Moore 255 Hallway,2,3,Moore Hall
Moore 457 Hallway,2,5,Moore Hall
Moore 585 Hallway,5,10,Moore Hall
Moore 464 Hallway,0,1,Moore Hall
Moore 432 Hallway,4,9,Moore Hall
Moore 365 Hallway,1,1,Moore Hall
Moore 570 Hallway,4,15,Moore Hall
Moore 428,4,9,Moore Hall
Moore 455 Hallway,0,0,Moore Hall
Moore 416,2,3,Moore Hall
Moore 319,0,3,Moore Hall
Moore 107,0,9,Moore Hall
Moore 560 Hallway,4,7,Moore Hall
Moore 155B,1,7,Moore Hall
Moore 470,3,3,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,1,2,Moore Hall
Moore 225,0,9,Moore Hall
Moore 153B,1,29,Moore Hall
Moore 152,0,9,Moore Hall
Moore 153A,4,20,Moore Hall
Moore 262,0,2,Moore Hall
Moore 103,0,2,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,1,4,Moore Hall
Moore 104 Hallway,0,1,Moore Hall
Moore 321 Hallway,0,3,Moore Hall
Moore 203,0,0,Moore Hall
Moore 105,0,3,Moore Hall
Moore 224,1,1,Moore Hall
Moore 421 Hallway,1,6,Moore Hall
Moore 414 Hallway,2,2,Moore Hall
Moore 226,0,2,Moore Hall
Moore 207,0,1,Moore Hall
Moore 208A Hallway,1,4,Moore Hall
Moore 254,2,7,Moore Hall
Moore 394,3,5,Moore Hall
Moore 206,0,5,Moore Hall
Moore 228 Mauka,0,14,Moore Hall
Hamilton P3 456,1,2,Hamilton Library
Hamilton P1 003 - INS Commons Area,1,1,Hamilton Library
Hamilton P3 356 Makai,0,5,Hamilton Library
Hamilton P3 550,1,2,Hamilton Library
Hamilton P2 235 Hallway,1,1,Hamilton Library
Hamilton P2 112B,2,46,Hamilton Library
Hamilton P2 109A,2,38,Hamilton Library
Hamilton P3 A260 Mauka,0,0,Hamilton Library
Hamilton P2 504,0,0,Hamilton Library
Hamilton P3 553,1,1,Hamilton Library
Hamilton P3 356 Mauka,1,2,Hamilton Library
Hamilton P3 552 DH,2,5,Hamilton Library
Hamilton P3 354A DH,1,2,Hamilton Library
Hamilton P2 526,0,0,Hamilton Library
Hamilton P3 150A,1,5,Hamilton Library
Hamilton P3 A153,2,10,Hamilton Library
Hamilton P2 114A/113,2,29,Hamilton Library
Hamilton P3 Bridge,1,9,Hamilton Library
Hamilton P3 A260 Makai,1,1,Hamilton Library
Hamilton P3 456 Mauka,1,1,Hamilton Library
Hamilton P2 008I Hallway,0,0,Hamilton Library
Hamilton P2 401,0,0,Hamilton Library
Hamilton P3 456 Makai,1,6,Hamilton Library
Hamilton P3 454A DH,1,2,Hamilton Library
Hamilton P3 A261 Study Area,0,4,Hamilton Library
Hamilton P3 151E,1,2,Hamilton Library
Hamilton P3 150A Study Area,1,9,Hamilton Library
Hamilton P3 553C,1,14,Hamilton Library
Hamilton P3 356,1,3,Hamilton Library
Hamilton P3 258,1,8,Hamilton Library
Hamilton P2 501,1,1,Hamilton Library
Hamilton P2 120,1,4,Hamilton Library
Hamilton P2 200 Elevator7 Column,1,6,Hamilton Library
Hamilton P2 110A,5,30,Hamilton Library
Hamilton 412 Hallway,0,0,Hamilton Library
Hamilton P1 100 CLIC,6,30,Hamilton Library
Hamilton 4th Fl Asia 39,0,0,Hamilton Library
Hamilton P2 113,1,10,Hamilton Library
Hamilton P2 422/423 Hallway,0,3,Hamilton Library
Hamilton P1 301-Conference Rm,0,0,Hamilton Library
Hamilton P1 101 Ewa,2,26,Hamilton Library
Hamilton P2 014 DH,3,4,Hamilton Library
Hamilton P2 320,0,0,Hamilton Library
Hamilton P2 511,0,0,Hamilton Library
