Device,Max Clients,Unique Clients,Building
Moore 421 Hallway,1,3,Moore Hall
Moore 414 Hallway,0,0,Moore Hall
Moore 226,0,6,Moore Hall
Moore 207,1,2,Moore Hall
Moore 208A Hallway,0,6,Moore Hall
Moore 254,2,6,Moore Hall
Moore 394,3,3,Moore Hall
Moore 206,0,2,Moore Hall
Moore 228 Mauka,0,13,Moore Hall
Hamilton P3 456,0,0,Hamilton Library
Hamilton P1 003 - INS Commons Area,0,0,Hamilton Library
Hamilton P3 356 Makai,1,4,Hamilton Library
Hamilton P3 550,0,0,Hamilton Library
Hamilton P2 235 Hallway,0,0,Hamilton Library
Hamilton P2 112B,2,35,Hamilton Library
Hamilton P2 109A,6,26,Hamilton Library
Hamilton P3 A260 Mauka,0,0,Hamilton Library
Hamilton P2 504,0,0,Hamilton Library
Hamilton P3 553,0,0,Hamilton Library
Hamilton P3 356 Mauka,0,0,Hamilton Library
Hamilton P3 552 DH,0,1,Hamilton Library
Hamilton P3 354A DH,0,0,Hamilton Library
Hamilton P2 526,0,0,Hamilton Library
Hamilton P3 150A,1,4,Hamilton Library
Hamilton P3 A153,1,9,Hamilton Library
Hamilton P2 114A/113,1,20,Hamilton Library
Hamilton P3 Bridge,0,1,Hamilton Library
Hamilton P3 A260 Makai,0,0,Hamilton Library
Hamilton P3 456 Mauka,0,0,Hamilton Library
Hamilton P2 008I Hallway,0,0,Hamilton Library
Hamilton P2 401,1,1,Hamilton Library
Hamilton P3 456 Makai,1,4,Hamilton Library
Hamilton P3 454A DH,0,0,Hamilton Library
Hamilton P3 A261 Study Area,0,0,Hamilton Library
Hamilton P3 151E,0,0,Hamilton Library
Hamilton P3 150A Study Area,1,9,Hamilton Library
Hamilton P3 553C,2,15,Hamilton Library
Hamilton P3 356,0,0,Hamilton Library
Hamilton P3 258,0,1,Hamilton Library
Hamilton P2 501,0,0,Hamilton Library
Hamilton P2 120,2,6,Hamilton Library
Hamilton P2 200 Elevator7 Column,0,0,Hamilton Library
Hamilton P2 110A,1,5,Hamilton Library
Hamilton 412 Hallway,0,0,Hamilton Library
Hamilton P1 100 CLIC,5,23,Hamilton Library
Hamilton 4th Fl Asia 39,0,0,Hamilton Library
Hamilton P2 113,1,8,Hamilton Library
Hamilton P2 422/423 Hallway,0,4,Hamilton Library
Hamilton P1 301-Conference Rm,1,1,Hamilton Library
Hamilton P1 101 Ewa,2,9,Hamilton Library
Hamilton P2 014 DH,1,1,Hamilton Library
Hamilton P2 320,0,0,Hamilton Library
Hamilton P2 511,0,0,Hamilton Library
Hamilton P3 BET,0,0,Hamilton Library
Hamilton P1 002-Administration,0,0,Hamilton Library
Hamilton P1 200,0,0,Hamilton Library
Hamilton P3 552 Ewa,2,2,Hamilton Library
Hamilton P2 400,0,1,Hamilton Library
Hamilton P3 156,0,1,Hamilton Library
Hamilton P1 003 Mauka,0,0,Hamilton Library
Hamilton P2 016,0,4,Hamilton Library
Hamilton P1 003F,1,1,Hamilton Library
Hamilton 4th Fl Asia 12,0,0,Hamilton Library
Hamilton P2 306 Ewa,1,2,Hamilton Library
Hamilton P2 006B,3,4,Hamilton Library
Hamilton P1 002k (old),0,0,Hamilton Library
Hamilton P3 052,0,0,Hamilton Library
Hamilton 4th Fl Asia 27,0,0,Hamilton Library
Hamilton P1 006A Ewa,0,0,Hamilton Library
Hamilton P2 405-Asia-Collections-Staff,0,0,Hamilton Library
Hamilton P1 201 Hallway,0,1,Hamilton Library
Hamilton P1 102,2,3,Hamilton Library
Hamilton 4th Fl Asia 32,0,0,Hamilton Library
Hamilton PI 006C,1,1,Hamilton Library
Hamilton P2 108,5,19,Hamilton Library
Hamilton P2 1stFl Elevator,10,50,Hamilton Library
Hamilton P1 006D Ewa,2,2,Hamilton Library
