Device,Max Clients,Unique Clients,Building
Wainani F 1102LR Tmp,5,16,Wainani
Wainani H 362B Temp,0,0,Wainani
Frear D 507C Temp,4,7,Frear
Frear D 207C Temp,3,9,Frear
Frear D 707C Temp,5,5,Frear
Noelani E Store,5,76,Noelani
Lokelani 1058 Temp,6,10,Lokelani
Lehua 1012 Temp,2,12,Lehua
HA Cafe Display Test,9,80,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,0,5,Hale Aloha Cafe
Frear D 1007C Temp,1,3,Frear
Lehua 408 Temp,5,11,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,5,6,Frear
Frear D 807C Temp,3,10,Frear
Frear D 801C,4,5,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,1,4,Sinclair Library
Laulima 311T,5,7,Hale Laulima
Frear D 607C Temp,3,4,Mokihana
Sinclair ACM 191A,1,3,Sinclair Library
Sinclair ACM 193A,0,1,Sinclair Library
Sinclair ACM 192,3,4,Sinclair Library
Sinclair ACM B03 Makai,0,1,Sinclair Library
Sinclair ACM 194,3,24,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,9,170,Kennedy
Crawford ECB Outdoor,2,35,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,12,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,2,15,Gateway
Spalding 256,4,6,Spalding Hall
Moore 328,1,7,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,1,1,Moore Hall
Moore 370 Hallway,3,5,Moore Hall
Moore 453 Hallway,2,2,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,3,24,Moore Hall
Moore 386 Hallway,3,3,Moore Hall
Moore 426,0,0,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,1,Moore Hall
Moore 383 Hallway,0,1,Moore Hall
Moore 402 Hallway,2,3,Moore Hall
Moore 257,1,3,Moore Hall
Moore 255 Hallway,1,2,Moore Hall
Moore 457 Hallway,1,4,Moore Hall
Moore 585 Hallway,3,4,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,5,6,Moore Hall
Moore 365 Hallway,1,1,Moore Hall
Moore 570 Hallway,1,5,Moore Hall
Moore 428,1,3,Moore Hall
Moore 455 Hallway,1,1,Moore Hall
Moore 416,0,0,Moore Hall
Moore 319,0,0,Moore Hall
Moore 107,0,7,Moore Hall
Moore 560 Hallway,3,3,Moore Hall
Moore 155B,1,3,Moore Hall
Moore 470,0,2,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,3,4,Moore Hall
Moore 225,1,8,Moore Hall
Moore 153B,2,22,Moore Hall
Moore 152,1,8,Moore Hall
Moore 153A,4,25,Moore Hall
Moore 262,1,3,Moore Hall
Moore 103,0,1,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,1,2,Moore Hall
Moore 104 Hallway,1,2,Moore Hall
Moore 321 Hallway,0,1,Moore Hall
Moore 109,0,6,Moore Hall
Moore 162,1,3,Moore Hall
Moore 370,0,1,Moore Hall
Moore 575 Hallway,1,1,Moore Hall
Moore 256 DH,1,10,Moore Hall
Moore 156,0,1,Moore Hall
Moore 360 Hallway,5,5,Moore Hall
Moore 302 Hallway,0,1,Moore Hall
Moore 573 Hallway,1,1,Moore Hall
Moore 115,0,0,Moore Hall
Moore 423 Makai,0,1,Moore Hall
Moore 326,0,0,Moore Hall
Moore 423 Mauka,1,4,Moore Hall
Moore 112,2,12,Moore Hall
Moore 256 Ewa,2,29,Moore Hall
Moore 253,2,10,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,1,2,Moore Hall
Moore 218 Hallway,0,2,Moore Hall
Moore 161,2,7,Moore Hall
Moore 258,1,5,Moore Hall
Moore 570,4,5,Moore Hall
Moore 481 Hallway,1,1,Moore Hall
Moore 564 Hallway,0,0,Moore Hall
Moore 119,1,6,Moore Hall
Moore 216,1,1,Moore Hall
Moore 264,0,2,Moore Hall
Moore 204,0,0,Moore Hall
Moore 228 Makai,1,9,Moore Hall
Moore 111,0,4,Moore Hall
Moore 117 Ewa,1,2,Moore Hall
Moore 202,0,0,Moore Hall
Moore 155A,1,2,Moore Hall
Moore 227,1,13,Moore Hall
Moore 423 Hallway,2,3,Moore Hall
Moore 259,4,7,Moore Hall
Moore 211 Hallway,0,0,Moore Hall
Moore 120,0,5,Moore Hall
Moore 203,0,0,Moore Hall
Moore 105,1,2,Moore Hall
Moore 224,0,0,Moore Hall
Moore 421 Hallway,1,3,Moore Hall
Moore 414 Hallway,1,1,Moore Hall
Moore 226,0,3,Moore Hall
Moore 207,0,1,Moore Hall
Moore 208A Hallway,1,4,Moore Hall
Moore 254,2,5,Moore Hall
Moore 394,3,3,Moore Hall
Moore 206,0,4,Moore Hall
Moore 228 Mauka,1,14,Moore Hall
Hamilton P3 456,0,0,Hamilton Library
Hamilton P1 003 - INS Commons Area,0,0,Hamilton Library
Hamilton P3 356 Makai,0,1,Hamilton Library
Hamilton P3 550,0,0,Hamilton Library
Hamilton P2 235 Hallway,0,0,Hamilton Library
Hamilton P2 112B,2,30,Hamilton Library
Hamilton P2 109A,1,12,Hamilton Library
Hamilton P3 A260 Mauka,0,0,Hamilton Library
Hamilton P2 504,0,1,Hamilton Library
Hamilton P3 553,1,1,Hamilton Library
Hamilton P3 356 Mauka,0,0,Hamilton Library
Hamilton P3 552 DH,0,2,Hamilton Library
Hamilton P3 354A DH,0,0,Hamilton Library
Hamilton P2 526,1,1,Hamilton Library
Hamilton P3 150A,2,4,Hamilton Library
Hamilton P3 A153,1,5,Hamilton Library
Hamilton P2 114A/113,2,28,Hamilton Library
Hamilton P3 Bridge,0,3,Hamilton Library
Hamilton P3 A260 Makai,0,0,Hamilton Library
Hamilton P3 456 Mauka,0,0,Hamilton Library
Hamilton P2 008I Hallway,0,0,Hamilton Library
Hamilton P2 401,0,2,Hamilton Library
Hamilton P3 456 Makai,0,3,Hamilton Library
Hamilton P3 454A DH,0,0,Hamilton Library
Hamilton P3 A261 Study Area,0,1,Hamilton Library
Hamilton P3 151E,1,3,Hamilton Library
Hamilton P3 150A Study Area,1,8,Hamilton Library
Hamilton P3 553C,2,20,Hamilton Library
Hamilton P3 356,0,0,Hamilton Library
Hamilton P3 258,0,3,Hamilton Library
Hamilton P2 501,1,1,Hamilton Library
Hamilton P2 120,1,7,Hamilton Library
Hamilton P2 200 Elevator7 Column,1,3,Hamilton Library
Hamilton P2 110A,2,14,Hamilton Library
Hamilton 412 Hallway,0,0,Hamilton Library
Hamilton P1 100 CLIC,4,15,Hamilton Library
Hamilton 4th Fl Asia 39,0,0,Hamilton Library
Hamilton P2 113,2,8,Hamilton Library
Hamilton P2 422/423 Hallway,1,4,Hamilton Library
Hamilton P1 301-Conference Rm,1,2,Hamilton Library
Hamilton P1 101 Ewa,1,10,Hamilton Library
Hamilton P2 014 DH,2,2,Hamilton Library
Hamilton P2 320,0,0,Hamilton Library
Hamilton P2 511,0,0,Hamilton Library
Hamilton P3 BET,1,1,Hamilton Library
Hamilton P1 002-Administration,0,0,Hamilton Library
Hamilton P1 200,1,2,Hamilton Library
Hamilton P3 552 Ewa,2,2,Hamilton Library
Hamilton P2 400,2,3,Hamilton Library
Hamilton P3 156,0,0,Hamilton Library
Hamilton P1 003 Mauka,0,0,Hamilton Library
Hamilton P2 016,2,6,Hamilton Library
Hamilton P1 003F,0,1,Hamilton Library
Hamilton 4th Fl Asia 12,0,0,Hamilton Library
Hamilton P2 306 Ewa,2,2,Hamilton Library
Hamilton P2 006B,3,5,Hamilton Library
Hamilton P1 002k (old),0,0,Hamilton Library
Hamilton P3 052,1,1,Hamilton Library
Hamilton 4th Fl Asia 27,0,0,Hamilton Library
Hamilton P1 006A Ewa,1,1,Hamilton Library
Hamilton P2 405-Asia-Collections-Staff,1,2,Hamilton Library
Hamilton P1 201 Hallway,0,3,Hamilton Library
Hamilton P1 102,1,1,Hamilton Library
Hamilton 4th Fl Asia 32,0,0,Hamilton Library
Hamilton PI 006C,1,3,Hamilton Library
Hamilton P2 108,2,11,Hamilton Library
Hamilton P2 1stFl Elevator,13,58,Hamilton Library
Hamilton P1 006D Ewa,1,1,Hamilton Library
Hamilton P1 006A,1,2,Hamilton Library
Hamilton P1 006D DH,0,0,Hamilton Library
Hamilton P1 211 Hallway,2,4,Hamilton Library
Hamilton P2 029,2,7,Hamilton Library
Hamilton P1 208,2,3,Hamilton Library
Hamilton P1 006 DH,1,1,Hamilton Library
Hamilton P1 202,1,1,Hamilton Library
Hamilton P1 101 DH,3,40,Hamilton Library
Hamilton P1 100-Study Area,12,50,Hamilton Library
Hamilton 4th Fl Asia 22,1,1,Hamilton Library
Hamilton P2 508,0,0,Hamilton Library
Hamilton P2 014 Ewa,2,4,Hamilton Library
Hamilton 4th Fl Asia 20,0,0,Hamilton Library
Hamilton P1 002K,0,0,Hamilton Library
Hamilton P2 112,0,8,Hamilton Library
Hamilton P2 3rdFl-Freight Elevator,0,1,Hamilton Library
Hamilton P2 026,1,4,Hamilton Library
Hamilton P2 306 DH,1,1,Hamilton Library
Hamilton 4th Fl Asia 16,0,0,Hamilton Library
Hamilton P2 159 Mauka,16,39,Hamilton Library
Hamilton 4th Fl Asia 34,0,0,Hamilton Library
Hamilton P1 101 Hallway,5,61,Hamilton Library
Hamilton P2 217 Hallway,0,0,Hamilton Library
Hamilton P2 008 DH,0,0,Hamilton Library
Hamilton P1 159 Makai,15,28,Hamilton Library
Hamilton P1 003 Makai,1,1,Hamilton Library
Hamilton P1 006A GovDocs,1,2,Hamilton Library
Hamilton P2 008 Ewa,4,6,Hamilton Library
Hamilton P2 123,1,12,Hamilton Library
