Device,Max Clients,Unique Clients,Building
Hamilton P2 015 DH,0,0,Hamilton Library
Hamilton P2 015-Acquisitions Dept,0,1,Hamilton Library
Wainani F 1102LR Tmp,2,7,Wainani
Wainani H 362B Temp,0,0,Wainani
Frear D 507C Temp,6,9,Frear
Frear D 207C Temp,4,12,Frear
Frear D 707C Temp,4,7,Frear
Noelani E Store,17,132,Noelani
Lokelani 1058 Temp,7,7,Lokelani
Lehua 1012 Temp,3,21,Lehua
HA Cafe Display Test,9,95,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,0,13,Hale Aloha Cafe
Frear D 1007C Temp,2,3,Frear
Lehua 408 Temp,2,9,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,4,6,Frear
Frear D 807C Temp,1,6,Frear
Frear D 801C,4,5,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,1,2,Sinclair Library
Laulima 311T,3,3,Hale Laulima
Frear D 607C Temp,3,8,Mokihana
Sinclair ACM 191A,1,1,Sinclair Library
Sinclair ACM 193A,0,0,Sinclair Library
Sinclair ACM 192,4,5,Sinclair Library
Sinclair ACM B03 Makai,0,0,Sinclair Library
Sinclair ACM 194,1,2,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,7,79,Kennedy
Crawford ECB Outdoor,1,16,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,3,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,1,1,Gateway
Spalding 256,1,1,Spalding Hall
Moore 328,1,3,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,0,1,Moore Hall
Moore 370 Hallway,0,0,Moore Hall
Moore 453 Hallway,1,2,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,1,7,Moore Hall
Moore 386 Hallway,0,0,Moore Hall
Moore 426,0,0,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,0,Moore Hall
Moore 383 Hallway,1,1,Moore Hall
Moore 402 Hallway,0,0,Moore Hall
Moore 257,0,0,Moore Hall
Moore 255 Hallway,0,0,Moore Hall
Moore 457 Hallway,1,2,Moore Hall
Moore 585 Hallway,1,2,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,5,5,Moore Hall
Moore 365 Hallway,1,1,Moore Hall
Moore 570 Hallway,5,8,Moore Hall
Moore 428,1,2,Moore Hall
Moore 455 Hallway,0,0,Moore Hall
Moore 416,1,1,Moore Hall
Moore 319,0,0,Moore Hall
Moore 107,1,1,Moore Hall
Moore 153A,2,9,Moore Hall
Moore 262,0,0,Moore Hall
Moore 103,0,1,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,1,1,Moore Hall
Moore 104 Hallway,1,1,Moore Hall
Moore 321 Hallway,0,1,Moore Hall
Moore 109,0,1,Moore Hall
Moore 162,0,1,Moore Hall
Moore 370,0,0,Moore Hall
Moore 575 Hallway,0,0,Moore Hall
Moore 256 DH,1,4,Moore Hall
Moore 156,0,0,Moore Hall
Moore 360 Hallway,3,3,Moore Hall
Moore 302 Hallway,0,0,Moore Hall
Moore 573 Hallway,1,1,Moore Hall
Moore 115,0,0,Moore Hall
Moore 423 Makai,1,1,Moore Hall
Moore 326,0,0,Moore Hall
Moore 423 Mauka,1,1,Moore Hall
Moore 112,1,1,Moore Hall
Moore 256 Ewa,2,15,Moore Hall
Moore 253,0,6,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,0,0,Moore Hall
Moore 218 Hallway,0,0,Moore Hall
Moore 161,1,1,Moore Hall
Moore 258,0,1,Moore Hall
Moore 570,1,1,Moore Hall
Moore 481 Hallway,1,1,Moore Hall
Moore 496 Hallway,0,0,Moore Hall
Moore 417,1,1,Moore Hall
Moore 324,0,0,Moore Hall
Moore 493 Hallway,0,0,Moore Hall
Moore 102,0,2,Moore Hall
Moore 151,0,13,Moore Hall
Moore 569,3,3,Moore Hall
Moore 424,0,0,Moore Hall
Moore 117 DH,0,2,Moore Hall
Moore 564 Hallway,0,2,Moore Hall
Moore 119,0,0,Moore Hall
Moore 216,0,0,Moore Hall
Moore 264,0,0,Moore Hall
Moore 204,0,0,Moore Hall
Moore 228 Makai,1,4,Moore Hall
Moore 111,0,0,Moore Hall
Moore 117 Ewa,0,0,Moore Hall
Moore 202,1,1,Moore Hall
Moore 155A,1,1,Moore Hall
Moore 227,0,6,Moore Hall
Moore 423 Hallway,1,1,Moore Hall
Moore 259,0,0,Moore Hall
Moore 211 Hallway,0,0,Moore Hall
Moore 120,0,2,Moore Hall
Moore 203,0,0,Moore Hall
Moore 105,0,0,Moore Hall
Moore 224,0,0,Moore Hall
Moore 421 Hallway,0,1,Moore Hall
Moore 414 Hallway,1,1,Moore Hall
Moore 226,0,1,Moore Hall
Moore 207,0,0,Moore Hall
Moore 208A Hallway,0,1,Moore Hall
Moore 254,1,4,Moore Hall
Moore 394,0,0,Moore Hall
Moore 206,0,0,Moore Hall
Moore 228 Mauka,0,5,Moore Hall
Hamilton P3 456,0,0,Hamilton Library
Hamilton P1 003 - INS Commons Area,0,0,Hamilton Library
Hamilton P3 356 Makai,0,0,Hamilton Library
Hamilton P3 550,0,1,Hamilton Library
Hamilton P2 235 Hallway,0,0,Hamilton Library
Hamilton P2 112B,1,14,Hamilton Library
Hamilton P2 109A,0,0,Hamilton Library
Hamilton P3 A260 Mauka,0,0,Hamilton Library
Hamilton P2 504,0,0,Hamilton Library
Hamilton P3 553,0,0,Hamilton Library
Hamilton P3 356 Mauka,0,0,Hamilton Library
Hamilton P3 552 DH,0,1,Hamilton Library
Hamilton P3 354A DH,0,0,Hamilton Library
Hamilton P2 526,0,0,Hamilton Library
Hamilton P3 150A,2,2,Hamilton Library
Hamilton P3 A153,1,3,Hamilton Library
Hamilton P2 114A/113,0,1,Hamilton Library
Hamilton P3 Bridge,1,1,Hamilton Library
Hamilton P3 A260 Makai,0,0,Hamilton Library
Hamilton P3 456 Mauka,0,0,Hamilton Library
Hamilton P2 008I Hallway,0,0,Hamilton Library
Hamilton P2 401,0,0,Hamilton Library
Hamilton P3 456 Makai,0,1,Hamilton Library
Hamilton P3 454A DH,0,0,Hamilton Library
Hamilton P3 A261 Study Area,0,0,Hamilton Library
Hamilton P3 151E,0,0,Hamilton Library
Hamilton P3 150A Study Area,1,11,Hamilton Library
Hamilton P3 553C,1,13,Hamilton Library
Hamilton P3 356,0,0,Hamilton Library
Hamilton P3 258,0,0,Hamilton Library
Hamilton P2 501,0,0,Hamilton Library
Hamilton P2 120,0,0,Hamilton Library
Hamilton P2 200 Elevator7 Column,0,0,Hamilton Library
Hamilton P2 110A,1,1,Hamilton Library
Hamilton 412 Hallway,0,0,Hamilton Library
Hamilton P1 100 CLIC,0,0,Hamilton Library
Hamilton 4th Fl Asia 39,0,0,Hamilton Library
Hamilton P2 113,1,10,Hamilton Library
Hamilton P2 422/423 Hallway,0,1,Hamilton Library
Hamilton P1 301-Conference Rm,0,0,Hamilton Library
Hamilton P1 101 Ewa,0,2,Hamilton Library
Hamilton P2 014 DH,0,0,Hamilton Library
Hamilton P2 320,0,0,Hamilton Library
Hamilton P2 511,0,0,Hamilton Library
Hamilton P3 BET,0,0,Hamilton Library
Hamilton P1 002-Administration,0,0,Hamilton Library
Hamilton P1 200,0,0,Hamilton Library
Hamilton P3 552 Ewa,0,1,Hamilton Library
Hamilton P2 400,0,0,Hamilton Library
Hamilton P3 156,0,0,Hamilton Library
Hamilton P1 003 Mauka,0,1,Hamilton Library
Hamilton P2 016,1,1,Hamilton Library
Hamilton P1 003F,0,0,Hamilton Library
Hamilton 4th Fl Asia 12,0,0,Hamilton Library
Hamilton P2 306 Ewa,1,1,Hamilton Library
Hamilton P2 006B,0,0,Hamilton Library
Hamilton P1 002k (old),0,0,Hamilton Library
Hamilton P3 052,0,0,Hamilton Library
Hamilton 4th Fl Asia 27,0,0,Hamilton Library
Hamilton P1 006A Ewa,0,0,Hamilton Library
Hamilton P2 405-Asia-Collections-Staff,0,0,Hamilton Library
Hamilton P1 201 Hallway,0,0,Hamilton Library
Hamilton P1 102,0,0,Hamilton Library
Hamilton 4th Fl Asia 32,0,0,Hamilton Library
Hamilton PI 006C,0,0,Hamilton Library
Hamilton P2 108,0,0,Hamilton Library
Hamilton P2 1stFl Elevator,0,0,Hamilton Library
Hamilton P1 006D Ewa,1,1,Hamilton Library
Hamilton P1 006A,0,0,Hamilton Library
Hamilton P1 006D DH,0,0,Hamilton Library
Hamilton P1 211 Hallway,0,0,Hamilton Library
Hamilton P2 029,0,0,Hamilton Library
Hamilton P1 208,0,0,Hamilton Library
Hamilton P1 006 DH,0,0,Hamilton Library
Hamilton P1 202,0,0,Hamilton Library
Hamilton P1 101 DH,0,1,Hamilton Library
Hamilton P1 100-Study Area,0,1,Hamilton Library
Hamilton 4th Fl Asia 22,1,1,Hamilton Library
Hamilton P2 508,0,0,Hamilton Library
Hamilton P2 014 Ewa,0,0,Hamilton Library
Hamilton 4th Fl Asia 20,0,0,Hamilton Library
Hamilton P1 002K,0,0,Hamilton Library
Hamilton P2 112,1,2,Hamilton Library
Hamilton P2 3rdFl-Freight Elevator,0,0,Hamilton Library
Hamilton P2 026,0,0,Hamilton Library
Hamilton P2 306 DH,1,1,Hamilton Library
Hamilton 4th Fl Asia 16,0,0,Hamilton Library
Hamilton P2 159 Mauka,2,3,Hamilton Library
Hamilton 4th Fl Asia 34,0,0,Hamilton Library
Hamilton P1 101 Hallway,0,0,Hamilton Library
Hamilton P2 217 Hallway,0,0,Hamilton Library
Hamilton P2 008 DH,0,0,Hamilton Library
Hamilton P1 159 Makai,0,0,Hamilton Library
Hamilton P1 003 Makai,1,1,Hamilton Library
Hamilton P1 006A GovDocs,0,0,Hamilton Library
Hamilton P2 008 Ewa,0,0,Hamilton Library
Hamilton P2 123,0,0,Hamilton Library
Hamilton P1 006 Ewa,1,1,Hamilton Library
Spalding 258A,0,0,Spalding Hall
Spalding 258,0,0,Spalding Hall
Edmondson 114,3,3,Edmondson Hall
Edmondson 112,3,3,Edmondson Hall
Edmondson 111,0,0,Edmondson Hall
Edmondson 3rd Fl Lanai,0,1,Edmondson Hall
Edmondson 1st Fl Lanai,1,13,Edmondson Hall
Edmondson 2nd Fl Lanai,0,2,Edmondson Hall
Edmondson 104,0,0,Edmondson Hall
Edmondson 101,8,9,Edmondson Hall
Edmondson 110,1,1,Edmondson Hall
Edmondson 103,1,2,Edmondson Hall
Edmondson 408,0,0,Edmondson Hall
Edmondson 212,0,0,Edmondson Hall
Edmondson 301 Mauka,2,2,Edmondson Hall
Edmondson 301 Makai,0,0,Edmondson Hall
Edmondson 401 Center,1,1,Edmondson Hall
Webster 203 Makai,0,0,Webster Hall
Webster 115,2,4,Webster Hall
Edmondson 301 Center,0,0,Edmondson Hall
Edmondson 401 Mauka,1,1,Edmondson Hall
Webster 101 Mauka,6,7,Webster Hall
Webster 446 Hallway,1,2,Webster Hall
Webster 114,0,1,Webster Hall
Webster 116,0,3,Webster Hall
Edmondson 411,1,1,Edmondson Hall
Webster 203 Ewa,0,1,Webster Hall
Webster 103 Hallway,0,0,Webster Hall
Edmondson 418,0,0,Edmondson Hall
Edmondson 203,2,2,Edmondson Hall
Webster 102,0,0,Webster Hall
Webster 112,0,2,Webster Hall
Edmondson 313,1,1,Edmondson Hall
Edmondson 401 Makai,0,0,Edmondson Hall
Edmondson 216,0,1,Edmondson Hall
Edmondson 201,0,0,Edmondson Hall
Webster 407 Hallway,1,1,Webster Hall
Edmondson 414,0,0,Edmondson Hall
Webster 327 Hallway,0,0,Webster Hall
Webster 303 Hallway,0,0,Webster Hall
Edmondson 215,1,1,Edmondson Hall
Webster 101 Makai,5,5,Webster Hall
Webster 103,0,0,Webster Hall
Webster Hallway 319E,1,1,Webster Hall
Webster 412 Hallway,0,0,Webster Hall
Webster 314 Hallway,1,1,Webster Hall
Webster 205,0,1,Webster Hall
Edmondson 213A,1,1,Edmondson Hall
Webster 214 Hallway,0,1,Webster Hall
Webster 438 Hallway,0,0,Webster Hall
Webster 432 Hallway,0,1,Webster Hall
Webster 218 Hallway,0,0,Webster Hall
HIG 376,1,2,HIG
HIG 151,0,3,HIG
HIG 311,0,0,HIG
HIG 110 Mauka Ewa,0,0,HIG
HIG 375,1,6,HIG
HIG 105B,1,2,HIG
HIG 110 Mauka DH,1,1,HIG
HIG 108,0,1,HIG
HIG 372,2,4,HIG
HIG 117A,1,4,HIG
HIG 309,0,0,HIG
HIG 310,0,0,HIG
HIG 321,1,6,HIG
HIG 131A,2,3,HIG
HIG 362,2,3,HIG
Kuykendall 101 Ewa Makai,0,0,Kuykendall
Kuykendall 106 Hallway,2,2,Kuykendall
HIG 417 Mauka,0,0,HIG
HIG 440,0,0,HIG
HIG 215C,0,0,HIG
HIG 116,1,5,HIG
HIG 213,0,0,HIG
Kuykendall 101 DH,0,0,Kuykendall
Kuykendall 310 Hallway,0,0,Kuykendall
Kuykendall 307 Hallway,0,0,Kuykendall
HIG 412,0,0,HIG
HIG 410A,0,1,HIG
HIG 135,0,1,HIG
HIG 305,0,1,HIG
HIG 211,0,0,HIG
HIG 413,0,0,HIG
HIG 432,3,3,HIG
HIG 232,0,3,HIG
Kuykendall 210 Hallway,0,0,Kuykendall
HIG 214,0,0,HIG
Kuykendall 415 Hallway,0,0,Kuykendall
HIG 336,0,1,HIG
Kuykendall 412 Hallway,1,1,Kuykendall
HIG 131C,1,2,HIG
HIG 210,0,1,HIG
Kuykendall 213,0,0,Kuykendall
Kuykendall 201A,1,1,Kuykendall
HIG 205,0,0,HIG
HIG P3,0,1,HIG
Kuykendall 521 Hallway,0,0,Kuykendall
Kuykendall 101 Ewa Mauka,0,0,Kuykendall
HIG 222,0,3,HIG
HIG 406,0,1,HIG
HIG 238,0,0,HIG
