Device,Max Clients,Unique Clients,Building
Wainani I 1454A Tmp,6,7,Wainani
Hamilton P2 015 DH,0,0,Hamilton Library
Hamilton P2 015-Acquisitions Dept,0,1,Hamilton Library
Wainani F 1102LR Tmp,4,13,Wainani
Wainani H 362B Temp,2,2,Wainani
Frear D 507C Temp,4,6,Frear
Frear D 207C Temp,4,12,Frear
Frear D 707C Temp,3,6,Frear
Noelani E Store,11,88,Noelani
Lokelani 1058 Temp,7,9,Lokelani
Lehua 1012 Temp,2,10,Lehua
HA Cafe Display Test,9,88,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,0,3,Hale Aloha Cafe
Frear D 1007C Temp,4,8,Frear
Lehua 408 Temp,4,13,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,5,5,Frear
Frear D 807C Temp,3,8,Frear
Frear D 801C,4,4,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,2,3,Sinclair Library
Laulima 311T,5,9,Hale Laulima
Frear D 607C Temp,5,11,Mokihana
Sinclair ACM 191A,0,1,Sinclair Library
Sinclair ACM 193A,1,1,Sinclair Library
Sinclair ACM 192,5,6,Sinclair Library
Sinclair ACM B03 Makai,0,0,Sinclair Library
Sinclair ACM 194,2,12,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,8,103,Kennedy
Crawford ECB Outdoor,1,12,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,4,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,0,5,Gateway
Spalding 256,1,2,Spalding Hall
Moore 328,0,5,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,0,0,Moore Hall
Moore 370 Hallway,0,1,Moore Hall
Moore 453 Hallway,1,2,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,1,3,Moore Hall
Moore 386 Hallway,1,2,Moore Hall
Moore 426,0,0,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,0,Moore Hall
Moore 383 Hallway,1,1,Moore Hall
Moore 402 Hallway,2,2,Moore Hall
Moore 257,0,0,Moore Hall
Moore 255 Hallway,0,0,Moore Hall
Moore 457 Hallway,1,3,Moore Hall
Moore 585 Hallway,1,1,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,6,7,Moore Hall
Moore 365 Hallway,2,2,Moore Hall
Moore 570 Hallway,1,1,Moore Hall
Moore 428,0,1,Moore Hall
Moore 455 Hallway,0,0,Moore Hall
Moore 416,0,0,Moore Hall
Moore 319,0,1,Moore Hall
Moore 107,1,1,Moore Hall
Moore 560 Hallway,0,0,Moore Hall
Moore 155B,1,2,Moore Hall
Moore 470,1,1,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,1,2,Moore Hall
Moore 225,1,3,Moore Hall
Moore 153B,0,7,Moore Hall
Moore 152,1,3,Moore Hall
Moore 153A,2,7,Moore Hall
Moore 262,0,0,Moore Hall
Moore 103,0,0,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,1,1,Moore Hall
Moore 104 Hallway,1,1,Moore Hall
Moore 321 Hallway,0,0,Moore Hall
Moore 109,0,3,Moore Hall
Moore 162,1,2,Moore Hall
Moore 370,1,2,Moore Hall
Moore 575 Hallway,0,0,Moore Hall
Moore 256 DH,0,4,Moore Hall
Moore 156,0,0,Moore Hall
Moore 360 Hallway,4,4,Moore Hall
Moore 302 Hallway,0,0,Moore Hall
Moore 573 Hallway,1,1,Moore Hall
Moore 115,0,0,Moore Hall
Moore 423 Makai,0,0,Moore Hall
Moore 326,0,0,Moore Hall
Moore 423 Mauka,0,2,Moore Hall
Moore 112,0,0,Moore Hall
Moore 256 Ewa,2,11,Moore Hall
Moore 253,0,3,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,0,0,Moore Hall
Moore 218 Hallway,0,0,Moore Hall
Moore 161,1,2,Moore Hall
Moore 258,0,2,Moore Hall
Moore 570,1,1,Moore Hall
Moore 481 Hallway,0,0,Moore Hall
Moore 496 Hallway,0,0,Moore Hall
Moore 417,1,1,Moore Hall
Moore 324,0,0,Moore Hall
Holmes 102MC,0,0,Holmes Hall
Holmes Ewa Makai Stairs,2,46,Holmes Hall
Holmes 492,0,0,Holmes Hall
Holmes 207 Hallway,2,4,Holmes Hall
Holmes 102MD,1,1,Holmes Hall
Holmes 411,1,2,Holmes Hall
Holmes BET,0,0,Holmes Hall
Holmes 101A,1,1,Holmes Hall
Holmes 240 Ewa,0,0,Holmes Hall
Holmes 243,0,0,Holmes Hall
Holmes 248,0,0,Holmes Hall
Holmes 246,0,0,Holmes Hall
Holmes 244A,0,0,Holmes Hall
Holmes 491,0,0,Holmes Hall
Holmes 242 Makai,0,0,Holmes Hall
Holmes 240K Hallway,1,2,Holmes Hall
Holmes 140,0,1,Holmes Hall
Holmes 102B,0,0,Holmes Hall
Holmes 406A,0,0,Holmes Hall
Holmes 487,3,3,Holmes Hall
Holmes 206A,2,3,Holmes Hall
Holmes 411 Hallway,2,5,Holmes Hall
Holmes 141 Hallway,2,24,Holmes Hall
Holmes 102,0,1,Holmes Hall
Holmes 241,0,0,Holmes Hall
Holmes 210,3,3,Holmes Hall
Holmes 211 Mauka,0,0,Holmes Hall
Holmes 144,1,3,Holmes Hall
Holmes 2nd Fl Ewa Commons,1,13,Holmes Hall
Holmes 240 DH,0,0,Holmes Hall
Holmes 244 Makai,1,1,Holmes Hall
Holmes 101 Hallway,1,21,Holmes Hall
Holmes 143C,0,1,Holmes Hall
HIG Makai-DH Exterior,1,12,HIG
Holmes 206 Hallway,4,7,Holmes Hall
Holmes 412,1,1,Holmes Hall
PSB 111,1,3,Physical Science Building
PSB 217 Makai Ewa,0,0,Physical Science Building
Watanabe 213 Hallway,1,1,Watanabe
PSB 402 Hallway,0,0,Physical Science Building
PSB 110,0,4,Physical Science Building
PSB 213,0,1,Physical Science Building
PSB 102 Hallway,3,6,Physical Science Building
PSB 208 DH,0,0,Physical Science Building
PSB Ewa Exterior Makai,3,27,Physical Science Building
Watanabe 209 Hallway,2,2,Watanabe
PSB 202 Hallway,0,0,Physical Science Building
Watanabe 112 DH,1,1,Watanabe
Watanabe 110,0,0,Watanabe
PSB 217 Mauka Ewa,0,0,Physical Science Building
PSB 217 Makai DH,1,1,Physical Science Building
PSB 210A,0,0,Physical Science Building
PSB 214,0,0,Physical Science Building
Watanabe 229 Hallway,1,3,Watanabe
PSB Ewa Exterior Mauka,2,12,Physical Science Building
PSB 112,1,2,Physical Science Building
PSB 211,0,0,Physical Science Building
PSB 407 Hallway,0,0,Physical Science Building
PSB 306 Hallway,1,1,Physical Science Building
PSB 319 Hallway,3,3,Physical Science Building
PSB 311 DH,0,0,Physical Science Building
Watanabe 109,1,1,Watanabe
PSB 310 DH,0,0,Physical Science Building
Watanabe 333 Hallway,0,0,Watanabe
Watanabe 412 Hallway,3,3,Watanabe
Watanabe 330 Hallway,0,2,Watanabe
Watanabe 437 Hallway,0,0,Watanabe
PSB 317,1,1,Physical Science Building
PSB 310 Ewa,0,0,Physical Science Building
Watanabe 217 Hallway,0,1,Watanabe
Watanabe 112 Ewa,0,1,Watanabe
Watanabe 404 Hallway,2,3,Watanabe
Watanabe 432 Hallway,2,2,Watanabe
PSB 108,2,5,Physical Science Building
PSB 209,1,1,Physical Science Building
Watanabe 420 Ewa,1,1,Watanabe
PSB 313,0,0,Physical Science Building
Watanabe 302 Hallway,1,1,Watanabe
Watanabe 234 Hallway,0,2,Watanabe
Watanabe 310 Hallway,0,1,Watanabe
Watanabe 420 DH,0,0,Watanabe
PSB 217 Mauka DH,0,0,Physical Science Building
Watanabe 202 Hallway,2,2,Watanabe
Watanabe 205 Hallway,1,3,Watanabe
Watanabe 312 Hallway,1,1,Watanabe
PSB 314,0,0,Physical Science Building
Watanabe 306 Hallway,1,1,Watanabe
PSB 309A,0,1,Physical Science Building
Watanabe 113,0,1,Watanabe
PSB 312C,0,1,Physical Science Building
Watanabe 336 Hallway,1,1,Watanabe
PSB 208 Ewa,0,1,Physical Science Building
Watanabe 327 Hallway,0,0,Watanabe
PSB 311 Ewa Makai,0,0,Physical Science Building
Watanabe 416,0,1,Watanabe
Keller 206,0,5,Keller
Watanabe 428 Hallway,3,3,Watanabe
Keller 3rd Fl Lounge,1,11,Keller
Watanabe 114,0,4,Watanabe
Keller 218,0,5,Keller
Keller 103 LAVA,0,0,Keller
Watanabe 415,0,1,Watanabe
Watanabe 225 Hallway,1,3,Watanabe
Keller 219,0,6,Keller
Keller 401A Hallway,0,1,Keller
Keller 301A Hallway,0,1,Keller
Keller 413,1,1,Keller
Keller 402,2,2,Keller
Keller 303 Ewa,0,2,Keller
Keller 214,3,4,Keller
Keller 213,1,2,Keller
Keller 304A Hallway,1,2,Keller
Keller 304 Hallway,0,0,Keller
Keller 313,1,11,Keller
Keller 301,0,3,Keller
Keller 302 DH,0,2,Keller
Keller 302 Ewa,1,4,Keller
Keller 303 DH,0,5,Keller
Keller 403 Hallway,1,3,Keller
Keller 314,1,3,Keller
Keller 414,0,1,Keller
Keller 403,0,1,Keller
Keller 401,1,2,Keller
Bilger Hall 319 Makai,0,2,Bilger Hall
Bilger Hall 309,4,9,Bilger Hall
Keller 102 Makai Ewa,1,1,Keller
Keller 102 Makai DH,1,1,Keller
Keller 102 Mauka,0,0,Keller
Keller 201,2,1,Keller
Keller 404,1,4,Keller
Bilger Hall 335 Mauka DH,0,1,Bilger Hall
Bilger Hall 201,1,4,Bilger Hall
Keller 406,0,2,Keller
Bilger Hall 212,1,8,Bilger Hall
Bilger Hall 337,0,0,Bilger Hall
Keller 209,0,3,Keller
Bilger Hall 314,5,10,Bilger Hall
Bilger Hall 239 Hallway,2,2,Bilger Hall
Keller 203,1,17,Keller
Bilger Hall 335 Mauka Ewa,0,3,Bilger Hall
Keller 103 Vault,0,1,Keller
Keller 204,1,2,Keller
Bilger Hall 341A,0,0,Bilger Hall
Bilger Hall 152 Ewa Mauka,1,1,Bilger Hall
Bilger Hall 116,0,0,Bilger Hall
Bilger Hall 150 Ewa,0,2,Bilger Hall
Bilger Hall 112,1,6,Bilger Hall
Bilger Hall 311A,3,7,Bilger Hall
Bilger Hall 335 Makai Ewa,1,2,Bilger Hall
Bilger Addition 217 Hallway,3,8,Bilger Addition
Krauss 101B Hallway,1,4,Krauss
Bilger Hall 207,1,2,Bilger Hall
Bilger Addition 103 Hallway,0,5,Bilger Addition
Bilger Addition 105 Hallway,0,7,Bilger Addition
Bilger Addition 405 Hallway,2,3,Bilger Addition
Bilger Hall 152 DH Mauka,2,7,Bilger Hall
Bilger Hall 235 Hallway,1,9,Bilger Hall
Bilger Hall 107,1,1,Bilger Hall
Bilger Hall 150 Mauka,2,3,Bilger Hall
Bilger Hall 335 Makai DH,0,0,Bilger Hall
Krauss 014,0,0,Krauss
Bilger Hall 152 DH Makai,0,0,Bilger Hall
Bilger Hall 214,0,0,Bilger Hall
Krauss 120,0,5,Krauss
Bilger Hall 247 Hallway,0,0,Bilger Hall
Bilger Hall 319 Mauka,1,2,Bilger Hall
Krauss 023,1,5,Krauss
Bilger Hall 321,2,10,Bilger Hall
Bilger Hall 205,0,1,Bilger Hall
Bilger Hall 251,0,7,Bilger Hall
Krauss 011,0,0,Krauss
Krauss 002 Gallery,0,1,Krauss
Bilger Addition 214 Hallway,2,17,Bilger Addition
Bilger Hall 152 Ewa Makai,0,0,Bilger Hall
Krauss 004A,2,15,Krauss
Bilger Hall 303 Hallway,4,13,Bilger Hall
Krauss 110,1,12,Krauss
Bilger Hall 301,1,2,Bilger Hall
Bilger Addition 303 Hallway,1,4,Bilger Addition
Krauss 101J Hallway,0,2,Krauss
Bilger Hall 202,0,4,Bilger Hall
Bilger Hall 338,0,3,Bilger Hall
Bilger Hall 341,0,0,Bilger Hall
Krauss 001,1,1,Krauss
Bilger Addition 001 Hallway,0,0,Bilger Addition
Bilger Addition 211 Hallway,1,10,Bilger Addition
Bilger Hall 245 Hallway,0,0,Bilger Hall
Bilger Addition 416 Hallway,1,4,Bilger Addition
Bilger Addition 118 Hallway,0,4,Bilger Addition
Bilger Hall 119,2,5,Bilger Hall
Bilger Addition 206 Hallway,0,7,Bilger Addition
Krauss 017A Hallway,0,1,Krauss
Bilger Addition 012,0,0,Bilger Addition
Krauss 003,0,7,Krauss
Krauss Annex U Rm 7,3,4,Krauss
Bilger Addition 004 Hallway,0,1,Bilger Addition
Bilger Addition 205 Hallway,0,0,Bilger Addition
Krauss 012,0,1,Krauss
Bilger Addition 320 Hallway,4,13,Bilger Addition
Bilger Addition 302 Hallway,1,7,Bilger Addition
Krauss 114,0,6,Krauss
Bilger Addition 508,2,2,Bilger Addition
Krauss Annex 19 Rm 2,0,0,Krauss
Bilger Addition 115 Hallway,2,8,Bilger Addition
Krauss 111,1,9,Krauss
Krauss 115,1,1,Krauss
Bilger Addition 419 Hallway,0,5,Bilger Addition
Krauss Annex 19 Rm 5,0,1,Krauss
Bilger Addition 116 Hallway,1,3,Bilger Addition
Bilger Addition 418 Hallway,1,4,Bilger Addition
Bilger Addition 209,0,0,Bilger Addition
Bilger Hall 150 Makai,0,2,Bilger Hall
Bilger Hall 104,0,9,Bilger Hall
Bilger Addition 102 Hallway,1,11,Bilger Addition
Bilger Addition 317,4,8,Bilger Addition
Krauss Annex U Rm 1,2,35,Krauss
Art 331T,2,13,Art
Art 364,0,5,Art
Art 204,1,3,Art
Art 355,1,3,Art
Art 132 Mauka,0,0,Art
Art 132 Makai,0,2,Art
Art 144,0,1,Art
Art 103C,0,0,Art
Art 210,0,2,Art
Art 339,0,1,Art
Art 134,1,1,Art
Art 205 Hallway,0,2,Art
Art 314,0,5,Art
Art 110,1,2,Art
Art 119A,2,8,Art
Sakamaki D301 Hallway,0,1,Sakamaki
Sakamaki B401 Hallway,0,0,Sakamaki
Sakamaki C301,0,0,Sakamaki
Sakamaki A104,0,9,Sakamaki
Sakamaki A300,0,0,Sakamaki
Sakamaki A102,0,3,Sakamaki
Sakamaki D306 Hallway,2,2,Sakamaki
Sakamaki C103,0,3,Sakamaki
Sakamaki C204B,2,6,Sakamaki
Sakamaki B309,0,0,Sakamaki
Sakamaki BET,0,1,Sakamaki
Sakamaki B211,0,0,Sakamaki
Sakamaki A415 Hallway,0,0,Sakamaki
Sakamaki D202H Hallway,1,2,Sakamaki
Sakamaki A201 Hallway,0,0,Sakamaki
Sakamaki D400 Hallway,2,2,Sakamaki
Sakamaki C308,0,1,Sakamaki
Sakamaki A311 Hallway,0,0,Sakamaki
Sakamaki A101,0,3,Sakamaki
Sakamaki A407 Hallway,0,1,Sakamaki
Sakamaki D101 Makai,0,1,Sakamaki
Sakamaki C102,0,4,Sakamaki
Sakamaki B416A Hallway,0,0,Sakamaki
Sakamaki D202C Hallway,2,2,Sakamaki
Sakamaki C407 Hallway,2,2,Sakamaki
Sakamaki D400A,0,0,Sakamaki
Sakamaki C400 Hallway,1,1,Sakamaki
Sakamaki B201 Hallway,1,2,Sakamaki
Sakamaki B102,0,1,Sakamaki
Sakamaki D303 Hallway,0,1,Sakamaki
Sakamaki B414,0,0,Sakamaki
Sakamaki B104,0,0,Sakamaki
Sakamaki B305 Hallway,1,1,Sakamaki
Sakamaki D101 Mauka,0,2,Sakamaki
Sakamaki B308,0,0,Sakamaki
Sakamaki D102,1,4,Sakamaki
Sakamaki C204A,0,0,Sakamaki
Sakamaki A206 Hallway,0,0,Sakamaki
Sakamaki B211 Hallway,0,0,Sakamaki
Sakamaki A305 Hallway,1,3,Sakamaki
Sakamaki C104,0,2,Sakamaki
Sakamaki B414 Hallway,0,0,Sakamaki
Sakamaki B207 Hallway,0,0,Sakamaki
Sakamaki B301,0,5,Sakamaki
Sakamaki C400,0,0,Sakamaki
Sakamaki C101,1,4,Sakamaki
Sakamaki C203,0,0,Sakamaki
Sakamaki C202,0,0,Sakamaki
Sakamaki B103,0,1,Sakamaki
