Device,Max Clients,Unique Clients,Building
Frear Q 528B Tmp,5,6,Frear
Mokihana 1283 Tmp,7,37,Mokihana
Wainani I 1454A Tmp,8,9,Wainani
Hamilton P2 015 DH,0,0,Hamilton Library
Hamilton P2 015-Acquisitions Dept,0,0,Hamilton Library
Wainani F 1102LR Tmp,2,10,Wainani
Frear D 907C Tmp,4,4,Frear
Wainani H 362B Temp,1,1,Wainani
Frear D 507C Temp,5,8,Frear
Frear D 207C Temp,3,9,Frear
Frear D 707C Temp,2,3,Frear
Noelani E Store,19,108,Noelani
Lokelani 1058 Temp,7,9,Lokelani
Lehua 1012 Temp,4,12,Lehua
HA Cafe Display Test,6,95,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,2,9,Hale Aloha Cafe
Frear D 1007C Temp,4,5,Frear
Lehua 408 Temp,3,10,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,5,6,Frear
Frear D 807C Temp,3,12,Frear
Frear D 801C,4,4,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,1,1,Sinclair Library
Laulima 311T,7,11,Hale Laulima
Frear D 607C Temp,5,9,Mokihana
Sinclair ACM 191A,0,1,Sinclair Library
Sinclair ACM 193A,1,1,Sinclair Library
Sinclair ACM 192,4,6,Sinclair Library
Sinclair ACM B03 Makai,0,0,Sinclair Library
Sinclair ACM 194,2,6,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,10,111,Kennedy
Crawford ECB Outdoor,2,18,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,2,9,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,0,0,Gateway
Spalding 256,1,1,Spalding Hall
Moore 328,0,6,Moore Hall
Moore 316,1,1,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,0,0,Moore Hall
Moore 370 Hallway,0,1,Moore Hall
Moore 453 Hallway,0,0,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,1,8,Moore Hall
Moore 386 Hallway,2,2,Moore Hall
Moore 426,0,0,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,0,Moore Hall
Moore 383 Hallway,1,1,Moore Hall
Moore 402 Hallway,1,1,Moore Hall
Moore 257,1,4,Moore Hall
Moore 255 Hallway,2,3,Moore Hall
Moore 457 Hallway,0,1,Moore Hall
Moore 585 Hallway,0,0,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,4,4,Moore Hall
Moore 365 Hallway,0,0,Moore Hall
Moore 570 Hallway,1,1,Moore Hall
Moore 428,1,2,Moore Hall
Moore 455 Hallway,0,0,Moore Hall
Moore 416,0,0,Moore Hall
Moore 319,0,0,Moore Hall
Moore 107,1,3,Moore Hall
Moore 560 Hallway,0,0,Moore Hall
Moore 155B,2,5,Moore Hall
Moore 470,1,1,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,1,1,Moore Hall
Moore 225,0,3,Moore Hall
Moore 153B,1,13,Moore Hall
Moore 152,1,5,Moore Hall
Moore 153A,2,12,Moore Hall
Moore 262,0,0,Moore Hall
Moore 103,0,1,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,1,1,Moore Hall
Moore 104 Hallway,0,1,Moore Hall
Moore 321 Hallway,0,0,Moore Hall
Moore 109,0,4,Moore Hall
Moore 162,0,0,Moore Hall
Moore 370,0,1,Moore Hall
Moore 575 Hallway,1,1,Moore Hall
Moore 256 DH,1,4,Moore Hall
Moore 156,0,0,Moore Hall
Moore 360 Hallway,4,4,Moore Hall
Moore 302 Hallway,0,0,Moore Hall
Moore 573 Hallway,1,2,Moore Hall
Moore 115,0,0,Moore Hall
Moore 423 Makai,1,1,Moore Hall
Moore 326,0,0,Moore Hall
Moore 423 Mauka,2,2,Moore Hall
Moore 112,3,5,Moore Hall
Moore 256 Ewa,2,19,Moore Hall
Moore 253,0,9,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,1,1,Moore Hall
Moore 218 Hallway,0,0,Moore Hall
Moore 161,2,2,Moore Hall
Moore 258,1,3,Moore Hall
Moore 570,3,3,Moore Hall
Moore 481 Hallway,1,1,Moore Hall
Moore 496 Hallway,0,0,Moore Hall
Moore 417,1,1,Moore Hall
Moore 324,0,0,Moore Hall
Moore 493 Hallway,0,0,Moore Hall
Moore 102,0,3,Moore Hall
Moore 151,0,23,Moore Hall
Moore 569,1,1,Moore Hall
Moore 424,1,1,Moore Hall
Moore 117 DH,0,3,Moore Hall
Moore 564 Hallway,0,0,Moore Hall
Moore 119,1,4,Moore Hall
Moore 216,0,0,Moore Hall
Moore 264,2,2,Moore Hall
Moore 204,0,0,Moore Hall
Moore 228 Makai,0,2,Moore Hall
Moore 111,0,0,Moore Hall
Moore 117 Ewa,0,0,Moore Hall
Moore 202,0,1,Moore Hall
Moore 155A,1,2,Moore Hall
Moore 227,1,7,Moore Hall
Moore 423 Hallway,1,1,Moore Hall
Moore 259,2,2,Moore Hall
Moore 211 Hallway,0,0,Moore Hall
Moore 120,0,1,Moore Hall
Moore 203,0,0,Moore Hall
Moore 105,0,2,Moore Hall
Moore 224,0,0,Moore Hall
Moore 421 Hallway,0,1,Moore Hall
Moore 414 Hallway,0,0,Moore Hall
Moore 226,0,1,Moore Hall
Moore 207,0,0,Moore Hall
Moore 208A Hallway,0,0,Moore Hall
Moore 254,0,1,Moore Hall
Moore 394,0,0,Moore Hall
Moore 206,0,2,Moore Hall
Moore 228 Mauka,1,16,Moore Hall
Hamilton P3 456,0,0,Hamilton Library
Hamilton P1 003 - INS Commons Area,0,0,Hamilton Library
Hamilton P3 356 Makai,0,0,Hamilton Library
Hamilton P3 550,0,0,Hamilton Library
Hamilton P2 235 Hallway,0,0,Hamilton Library
Hamilton P2 112B,1,19,Hamilton Library
Hamilton P2 109A,0,1,Hamilton Library
Hamilton P3 A260 Mauka,0,0,Hamilton Library
Hamilton P2 504,0,0,Hamilton Library
Hamilton P3 553,0,0,Hamilton Library
Hamilton P3 356 Mauka,0,0,Hamilton Library
Hamilton P3 552 DH,0,0,Hamilton Library
Hamilton P3 354A DH,0,0,Hamilton Library
Hamilton P2 526,0,0,Hamilton Library
Hamilton P3 150A,1,1,Hamilton Library
Hamilton P3 A153,1,3,Hamilton Library
Hamilton P2 114A/113,0,1,Hamilton Library
Hamilton P3 Bridge,0,0,Hamilton Library
Hamilton P3 A260 Makai,0,0,Hamilton Library
Hamilton P3 456 Mauka,0,0,Hamilton Library
Hamilton P2 008I Hallway,0,0,Hamilton Library
Hamilton P2 401,1,1,Hamilton Library
Hamilton P3 456 Makai,0,1,Hamilton Library
Hamilton P3 454A DH,0,0,Hamilton Library
Hamilton P3 A261 Study Area,0,0,Hamilton Library
Hamilton P3 151E,0,0,Hamilton Library
Hamilton P3 150A Study Area,1,8,Hamilton Library
Hamilton P3 553C,0,5,Hamilton Library
Hamilton P3 356,0,0,Hamilton Library
Hamilton P3 258,0,0,Hamilton Library
Hamilton P2 501,0,0,Hamilton Library
Hamilton P2 120,0,0,Hamilton Library
Hamilton P2 200 Elevator7 Column,0,0,Hamilton Library
Hamilton P2 110A,1,3,Hamilton Library
Hamilton 412 Hallway,0,0,Hamilton Library
Hamilton P1 100 CLIC,0,0,Hamilton Library
Hamilton 4th Fl Asia 39,0,0,Hamilton Library
Hamilton P2 113,0,7,Hamilton Library
Hamilton P2 422/423 Hallway,0,1,Hamilton Library
Hamilton P1 301-Conference Rm,0,0,Hamilton Library
Hamilton P1 101 Ewa,0,1,Hamilton Library
Hamilton P2 014 DH,0,0,Hamilton Library
Hamilton P2 1stFl Elevator,0,0,Hamilton Library
