Device,Max Clients,Unique Clients,Building
Hamilton P3 156,0,0,Hamilton Library
Hamilton P1 003 Mauka,0,1,Hamilton Library
Hamilton P2 016,3,5,Hamilton Library
Hamilton P1 003F,1,1,Hamilton Library
Hamilton 4th Fl Asia 12,0,0,Hamilton Library
Hamilton P2 306 Ewa,2,3,Hamilton Library
Hamilton P2 006B,2,4,Hamilton Library
Hamilton P1 002k (old),0,0,Hamilton Library
Hamilton P3 052,4,4,Hamilton Library
Hamilton 4th Fl Asia 27,0,0,Hamilton Library
Hamilton P1 006A Ewa,0,0,Hamilton Library
Hamilton P2 405-Asia-Collections-Staff,0,0,Hamilton Library
Hamilton P1 201 Hallway,1,7,Hamilton Library
Hamilton P1 102,2,3,Hamilton Library
Hamilton 4th Fl Asia 32,1,1,Hamilton Library
Hamilton PI 006C,0,1,Hamilton Library
Hamilton P2 108,4,24,Hamilton Library
Hamilton P2 1stFl Elevator,10,41,Hamilton Library
Hamilton P1 006D Ewa,2,2,Hamilton Library
Hamilton P1 006A,0,0,Hamilton Library
Hamilton P1 006D DH,0,1,Hamilton Library
Hamilton P1 211 Hallway,1,6,Hamilton Library
Hamilton P2 029,1,8,Hamilton Library
Hamilton P1 208,1,1,Hamilton Library
Hamilton P1 006 DH,0,2,Hamilton Library
Hamilton P1 202,2,2,Hamilton Library
Hamilton P1 101 DH,3,28,Hamilton Library
Hamilton P1 100-Study Area,15,52,Hamilton Library
Hamilton 4th Fl Asia 22,0,0,Hamilton Library
Hamilton P2 508,0,2,Hamilton Library
Hamilton P2 014 Ewa,0,1,Hamilton Library
Hamilton 4th Fl Asia 20,0,0,Hamilton Library
Hamilton P1 002K,0,0,Hamilton Library
Hamilton P2 112,0,1,Hamilton Library
Hamilton P2 3rdFl-Freight Elevator,0,0,Hamilton Library
Hamilton P2 026,1,6,Hamilton Library
Hamilton P2 306 DH,2,2,Hamilton Library
Hamilton 4th Fl Asia 16,0,0,Hamilton Library
Hamilton P2 159 Mauka,15,30,Hamilton Library
Hamilton 4th Fl Asia 34,0,0,Hamilton Library
Hamilton P1 101 Hallway,5,45,Hamilton Library
Hamilton P2 217 Hallway,2,3,Hamilton Library
Hamilton P2 008 DH,0,0,Hamilton Library
Hamilton P1 159 Makai,13,26,Hamilton Library
Hamilton P1 003 Makai,1,2,Hamilton Library
Hamilton P1 006A GovDocs,2,2,Hamilton Library
Hamilton P2 008 Ewa,3,8,Hamilton Library
Hamilton P2 123,1,5,Hamilton Library
Hamilton P1 006 Ewa,1,3,Hamilton Library
Spalding 258A,0,1,Spalding Hall
Spalding 258,2,5,Spalding Hall
Edmondson 114,4,5,Edmondson Hall
Edmondson 112,4,4,Edmondson Hall
Edmondson 111,2,2,Edmondson Hall
Edmondson 3rd Fl Lanai,6,23,Edmondson Hall
Edmondson 1st Fl Lanai,1,55,Edmondson Hall
Edmondson 2nd Fl Lanai,4,30,Edmondson Hall
Edmondson 104,0,2,Edmondson Hall
Edmondson 101,1,3,Edmondson Hall
Edmondson 110,1,2,Edmondson Hall
Edmondson 103,2,3,Edmondson Hall
Edmondson 408,1,2,Edmondson Hall
Edmondson 212,0,1,Edmondson Hall
Edmondson 301 Mauka,5,8,Edmondson Hall
Edmondson 301 Makai,3,6,Edmondson Hall
Edmondson 401 Center,1,2,Edmondson Hall
HIG 110 Makai Ewa,0,1,HIG
HIG 206,1,2,HIG
HIG 416B,2,5,HIG
Kuykendall 225 Hallway,1,2,Kuykendall
HIG 409,0,1,HIG
HIG 115,2,9,HIG
HIG P5,1,1,HIG
Kuykendall 204,1,1,Kuykendall
HIG 404,0,1,HIG
Kuykendall 325 Hallway,1,1,Kuykendall
HIG 231,0,2,HIG
HIG 421,2,5,HIG
Kuykendall 207 Hallway,1,5,Kuykendall
HIG 133,1,10,HIG
Kuykendall 309 Hallway,0,1,Kuykendall
Kuykendall 402 Hallway,2,2,Kuykendall
HIG 417 Makai,1,2,HIG
HIG 415A,1,2,HIG
HIG 152 DH,1,3,HIG
HIG 153A,1,4,HIG
HIG 153,3,5,HIG
HIG 407A,0,2,HIG
HIG 437,3,5,HIG
HIG 208,0,0,HIG
HIG 435,2,5,HIG
HIG 217,2,5,HIG
Kuykendall 721 Hallway,1,1,Kuykendall
Holmes 356,3,5,Holmes Hall
Kuykendall BET Outdoor,7,47,Kuykendall
Kuykendall 411 Hallway,1,1,Kuykendall
Kuykendall 419 Hallway,2,3,Kuykendall
Holmes 452,3,5,Holmes Hall
Kuykendall 417 Hallway,2,5,Kuykendall
Holmes 448,4,4,Holmes Hall
Holmes 390,2,2,Holmes Hall
Holmes 357,0,1,Holmes Hall
Kuykendall 716 Hallway,2,3,Kuykendall
Holmes 347,1,3,Holmes Hall
Holmes 142 Makai,1,2,Holmes Hall
Holmes 287,0,0,Holmes Hall
Kuykendall 426 Hallway,1,1,Kuykendall
Kuykendall 206 Temp,5,21,Kuykendall
Kuykendall 313,1,13,Kuykendall
Kuykendall 318 Hallway,0,1,Kuykendall
Holmes 352 Hallway,3,4,Holmes Hall
Holmes 310B,2,2,Holmes Hall
Kuykendall 106A,1,20,Kuykendall
Kuykendall 307 DH,1,10,Kuykendall
Holmes 240C,5,5,Holmes Hall
Holmes 447 Hallway,0,0,Holmes Hall
Kuykendall 514 Hallway,1,1,Kuykendall
Holmes 310,2,2,Holmes Hall
Holmes 385 DH,2,6,Holmes Hall
