Device,Max Clients,Unique Clients,Building
Hamilton P2 508,0,0,Hamilton Library
Hamilton P2 014 Ewa,1,3,Hamilton Library
Hamilton 4th Fl Asia 20,0,0,Hamilton Library
Hamilton P1 002K,0,0,Hamilton Library
Hamilton P2 112,1,10,Hamilton Library
Hamilton P2 3rdFl-Freight Elevator,0,0,Hamilton Library
Hamilton P2 026,1,4,Hamilton Library
Hamilton P2 306 DH,1,1,Hamilton Library
Hamilton 4th Fl Asia 16,0,0,Hamilton Library
Hamilton P2 159 Mauka,10,33,Hamilton Library
Hamilton 4th Fl Asia 34,0,0,Hamilton Library
Hamilton P1 101 Hallway,4,68,Hamilton Library
Hamilton P2 217 Hallway,0,0,Hamilton Library
Hamilton P2 008 DH,1,1,Hamilton Library
Hamilton P1 159 Makai,16,32,Hamilton Library
Hamilton P1 003 Makai,1,3,Hamilton Library
Hamilton P1 006A GovDocs,0,0,Hamilton Library
Hamilton P2 008 Ewa,4,9,Hamilton Library
Hamilton P2 123,2,11,Hamilton Library
Hamilton P1 006 Ewa,1,2,Hamilton Library
Spalding 258A,0,0,Spalding Hall
Spalding 258,2,6,Spalding Hall
Edmondson 114,4,10,Edmondson Hall
Edmondson 112,13,17,Edmondson Hall
Edmondson 111,0,1,Edmondson Hall
Edmondson 3rd Fl Lanai,1,16,Edmondson Hall
Edmondson 1st Fl Lanai,4,95,Edmondson Hall
Edmondson 2nd Fl Lanai,2,29,Edmondson Hall
Edmondson 104,0,2,Edmondson Hall
Edmondson 101,10,25,Edmondson Hall
Edmondson 110,1,3,Edmondson Hall
Edmondson 103,1,5,Edmondson Hall
Edmondson 408,1,2,Edmondson Hall
Edmondson 212,0,2,Edmondson Hall
Edmondson 301 Mauka,3,4,Edmondson Hall
Edmondson 301 Makai,2,6,Edmondson Hall
Edmondson 401 Center,1,2,Edmondson Hall
Webster 203 Makai,0,0,Webster Hall
Webster 115,0,3,Webster Hall
Edmondson 301 Center,1,1,Edmondson Hall
Edmondson 401 Mauka,1,2,Edmondson Hall
Webster 101 Mauka,4,5,Webster Hall
Webster 446 Hallway,4,4,Webster Hall
Webster 114,0,4,Webster Hall
Webster 116,0,3,Webster Hall
Edmondson 411,3,3,Edmondson Hall
Webster 203 Ewa,0,0,Webster Hall
Webster 103 Hallway,1,3,Webster Hall
Edmondson 418,0,1,Edmondson Hall
Edmondson 203,2,3,Edmondson Hall
Webster 102,0,0,Webster Hall
Webster 112,1,4,Webster Hall
Edmondson 313,4,7,Edmondson Hall
Edmondson 401 Makai,0,1,Edmondson Hall
Edmondson 216,4,6,Edmondson Hall
Edmondson 201,1,5,Edmondson Hall
Webster 407 Hallway,1,2,Webster Hall
Edmondson 414,0,0,Edmondson Hall
Webster 327 Hallway,2,3,Webster Hall
Webster 303 Hallway,1,4,Webster Hall
Edmondson 215,2,6,Edmondson Hall
Webster 101 Makai,5,11,Webster Hall
Webster 103,0,1,Webster Hall
Webster Hallway 319E,2,4,Webster Hall
Webster 412 Hallway,2,2,Webster Hall
Webster 314 Hallway,1,1,Webster Hall
Webster 205,0,2,Webster Hall
Edmondson 213A,3,3,Edmondson Hall
Webster 214 Hallway,0,0,Webster Hall
Webster 438 Hallway,1,3,Webster Hall
Webster 432 Hallway,2,5,Webster Hall
Webster 218 Hallway,0,0,Webster Hall
