Device,Max Clients,Unique Clients,Building
Frear Q 528B Tmp,7,9,Frear
Mokihana 1283 Tmp,5,20,Mokihana
Wainani I 1454A Tmp,7,8,Wainani
Hamilton P2 015 DH,1,1,Hamilton Library
Hamilton P2 015-Acquisitions Dept,2,7,Hamilton Library
Wainani F 1102LR Tmp,6,15,Wainani
Frear D 907C Tmp,2,2,Frear
Wainani H 362B Temp,1,1,Wainani
Frear D 507C Temp,7,8,Frear
Frear D 207C Temp,5,9,Frear
Frear D 707C Temp,3,3,Frear
Noelani E Store,7,25,Noelani
Lokelani 1058 Temp,9,11,Lokelani
Lehua 1012 Temp,3,10,Lehua
HA Cafe Display Test,2,3,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,1,5,Hale Aloha Cafe
Frear D 1007C Temp,3,4,Frear
Lehua 408 Temp,5,8,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,4,4,Frear
Frear D 807C Temp,3,5,Frear
Frear D 801C,3,3,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,1,3,Sinclair Library
Laulima 311T,6,8,Hale Laulima
Frear D 607C Temp,5,11,Mokihana
Sinclair ACM 191A,0,2,Sinclair Library
Sinclair ACM 193A,1,1,Sinclair Library
Sinclair ACM 192,3,6,Sinclair Library
Sinclair ACM B03 Makai,0,1,Sinclair Library
Sinclair ACM 194,3,10,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,6,118,Kennedy
Crawford ECB Outdoor,3,53,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,2,17,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,2,14,Gateway
Spalding 256,7,15,Spalding Hall
Moore 328,1,5,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,1,2,Moore Hall
Moore 370 Hallway,1,2,Moore Hall
Moore 453 Hallway,1,1,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,1,Moore Hall
Moore 251,4,20,Moore Hall
Moore 386 Hallway,2,2,Moore Hall
Moore 426,0,1,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,1,1,Moore Hall
Moore 383 Hallway,1,1,Moore Hall
Moore 402 Hallway,2,2,Moore Hall
Moore 257,1,7,Moore Hall
Moore 255 Hallway,2,7,Moore Hall
Moore 457 Hallway,0,0,Moore Hall
Moore 585 Hallway,2,2,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,3,3,Moore Hall
Moore 365 Hallway,0,0,Moore Hall
Moore 570 Hallway,1,7,Moore Hall
Moore 428,1,3,Moore Hall
Moore 455 Hallway,0,0,Moore Hall
Moore 416,0,1,Moore Hall
Moore 319,0,4,Moore Hall
Moore 107,1,4,Moore Hall
Moore 560 Hallway,3,4,Moore Hall
Moore 155B,1,2,Moore Hall
Moore 470,2,2,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,1,2,Moore Hall
Moore 225,1,3,Moore Hall
Moore 153B,2,21,Moore Hall
Moore 152,0,9,Moore Hall
Moore 153A,5,21,Moore Hall
Moore 262,1,1,Moore Hall
Moore 103,0,2,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,3,4,Moore Hall
Moore 104 Hallway,0,1,Moore Hall
Moore 321 Hallway,0,2,Moore Hall
Moore 109,0,5,Moore Hall
Moore 162,2,2,Moore Hall
Moore 370,0,1,Moore Hall
Moore 575 Hallway,1,3,Moore Hall
Moore 256 DH,3,13,Moore Hall
Moore 156,1,6,Moore Hall
Moore 360 Hallway,4,4,Moore Hall
Moore 302 Hallway,0,0,Moore Hall
Moore 573 Hallway,2,2,Moore Hall
Moore 115,0,0,Moore Hall
Moore 423 Makai,1,1,Moore Hall
Moore 326,0,1,Moore Hall
Moore 423 Mauka,1,1,Moore Hall
Moore 112,3,6,Moore Hall
Moore 256 Ewa,7,22,Moore Hall
Moore 253,2,11,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,2,3,Moore Hall
Moore 218 Hallway,0,1,Moore Hall
Moore 161,3,3,Moore Hall
Moore 258,1,3,Moore Hall
Moore 570,6,6,Moore Hall
Moore 481 Hallway,2,2,Moore Hall
Moore 496 Hallway,1,1,Moore Hall
Moore 417,1,1,Moore Hall
Moore 324,0,0,Moore Hall
Moore 493 Hallway,1,2,Moore Hall
Moore 102,0,3,Moore Hall
Moore 151,1,17,Moore Hall
Moore 569,3,3,Moore Hall
Moore 424,1,2,Moore Hall
Moore 117 DH,0,0,Moore Hall
Moore 564 Hallway,4,5,Moore Hall
Moore 119,0,1,Moore Hall
Moore 216,2,4,Moore Hall
Moore 264,0,1,Moore Hall
Moore 204,0,1,Moore Hall
Moore 228 Makai,0,2,Moore Hall
Moore 111,0,1,Moore Hall
Moore 117 Ewa,1,1,Moore Hall
Moore 202,0,1,Moore Hall
Moore 155A,3,7,Moore Hall
Moore 227,1,11,Moore Hall
Moore 423 Hallway,3,3,Moore Hall
Moore 259,4,9,Moore Hall
Moore 211 Hallway,0,0,Moore Hall
Edmondson 201,4,4,Edmondson Hall
Webster 407 Hallway,2,3,Webster Hall
Edmondson 414,1,4,Edmondson Hall
Webster 327 Hallway,11,15,Webster Hall
Webster 303 Hallway,2,8,Webster Hall
Edmondson 215,2,3,Edmondson Hall
Webster 101 Makai,3,13,Webster Hall
Webster 103,0,0,Webster Hall
Webster Hallway 319E,2,3,Webster Hall
Webster 412 Hallway,6,11,Webster Hall
Webster 314 Hallway,1,8,Webster Hall
Webster 205,1,4,Webster Hall
Edmondson 213A,1,1,Edmondson Hall
Webster 214 Hallway,0,4,Webster Hall
Webster 438 Hallway,0,5,Webster Hall
Webster 432 Hallway,2,5,Webster Hall
Webster 218 Hallway,0,0,Webster Hall
Edmondson 309,2,2,Edmondson Hall
Edmondson 205,2,5,Edmondson Hall
Webster 203 Mauka,0,0,Webster Hall
Webster Hallway 317,5,8,Webster Hall
Webster 442 Hallway,0,2,Webster Hall
Webster 337 Hallway,1,5,Webster Hall
Webster 323 Hallway,0,4,Webster Hall
Edmondson 318,5,7,Edmondson Hall
Edmondson 308,1,3,Edmondson Hall
Webster 301,3,17,Webster Hall
Webster 402,3,11,Webster Hall
Webster 104,0,1,Webster Hall
Webster 201A,2,11,Webster Hall
Webster 204AA,1,2,Webster Hall
Edmondson 4th Fl Lanai,2,9,Edmondson Hall
Webster 113,1,14,Webster Hall
Webster 334,5,5,Webster Hall
Snyder 401C Hallway,0,0,Snyder Hall
Webster 403 Hallway,0,2,Webster Hall
Webster 200A,2,15,Webster Hall
Snyder 410 Hallway,4,5,Snyder Hall
Webster 332 Hallway,3,8,Webster Hall
Webster 201,0,1,Webster Hall
Webster 222 Hallway,0,1,Webster Hall
Snyder 411 Hallway,1,1,Snyder Hall
Spalding 353B,0,1,Spalding Hall
Spalding 354D,2,5,Spalding Hall
Paradise Palms DH Makai Dining,1,1,Paradise Palms
Paradise Palms Dunkin,0,7,Paradise Palms
Spalding 352,0,0,Spalding Hall
Spalding 255,4,23,Spalding Hall
Paradise Palms Center Dining,0,0,Paradise Palms
Spalding 454,2,11,Spalding Hall
Spalding 362,1,4,Spalding Hall
Spalding 358,1,1,Spalding Hall
Spalding 155 Mauka Ewa,1,1,Spalding Hall
Paradise Palms Ewa Makai Dining,0,1,Paradise Palms
Paradise Palms DH Mauka Dining,0,0,Paradise Palms
Spalding 155 Makai Ewa,0,2,Spalding Hall
Spalding 354,1,12,Spalding Hall
Spalding 155 Makai DH,1,2,Spalding Hall
Spalding 360,0,1,Spalding Hall
Spalding 453A,1,7,Spalding Hall
Spalding 257,2,10,Spalding Hall
Spalding 155 Mauka DH,0,0,Spalding Hall
Paradise Palms Ewa Mauka Dining,1,11,Paradise Palms
Snyder 401 Hallway,0,0,Snyder Hall
Snyder 107 BET,0,2,Snyder Hall
Emergency Call Box Snyder,1,3,Snyder Hall
Noelani A 107T,5,14,Noelani
HIG 314A,0,2,HIG
HIG 351 Hallway,2,7,HIG
HIG 312,1,4,HIG
HIG 340,1,2,HIG
HIG 305A,0,3,HIG
HIG 318,6,22,HIG
HIG 131,2,10,HIG
HIG 364 Hallway,2,7,HIG
HIG 353,1,6,HIG
HIG 337,1,3,HIG
HIG 367,0,1,HIG
HIG 316,0,4,HIG
HIG 333,1,3,HIG
HIG 303,1,8,HIG
HIG 109,4,18,HIG
HIG 315,1,1,HIG
HIG 376,2,4,HIG
HIG 151,1,22,HIG
HIG 311,1,10,HIG
HIG 110 Mauka Ewa,0,0,HIG
HIG 375,5,17,HIG
HIG 105B,0,7,HIG
HIG 110 Mauka DH,1,1,HIG
HIG 108,1,9,HIG
HIG 372,6,9,HIG
HIG 117A,0,12,HIG
HIG 309,0,1,HIG
HIG 310,2,5,HIG
HIG 321,5,17,HIG
HIG 131A,2,11,HIG
HIG 362,5,5,HIG
Kuykendall 101 Ewa Makai,0,0,Kuykendall
Kuykendall 106 Hallway,2,14,Kuykendall
HIG 417 Mauka,0,0,HIG
HIG 440,2,3,HIG
HIG 215C,0,0,HIG
HIG 116,0,12,HIG
HIG 213,0,1,HIG
Kuykendall 101 DH,0,2,Kuykendall
Kuykendall 310 Hallway,1,1,Kuykendall
Kuykendall 307 Hallway,0,0,Kuykendall
HIG 412,3,8,HIG
HIG 410A,0,2,HIG
HIG 135,1,4,HIG
HIG 305,0,8,HIG
HIG 211,0,2,HIG
HIG 413,5,8,HIG
HIG 432,4,7,HIG
HIG 232,1,10,HIG
Kuykendall 210 Hallway,2,3,Kuykendall
HIG 214,0,0,HIG
Kuykendall 415 Hallway,1,1,Kuykendall
HIG 336,1,3,HIG
Kuykendall 412 Hallway,1,0,Kuykendall
HIG 131C,2,10,HIG
HIG 210,0,4,HIG
Kuykendall 213,0,8,Kuykendall
Kuykendall 201A,2,2,Kuykendall
HIG 205,0,0,HIG
HIG P3,0,1,HIG
Kuykendall 521 Hallway,2,3,Kuykendall
Kuykendall 101 Ewa Mauka,0,1,Kuykendall
